ID zákazníka,Loyalty Tier,Region,Věk,Délka vztahu (dny),Recency (dny),Počet obj. 2022–24,Útrata 2022–24,App Usage Score,Email Open Rate,Skutečný CLV 2025,Predikovaný CLV 2025,CLV Segment
ACC-00052,Silver,CZ,49,978,256,14,86570.22,54.1,0.6,0.0,1069.3032,Low
ACC-00053,Silver,SK,24,316,2,8,57598.3,49.9,0.58,10469.38,11525.334,Medium
ACC-00054,Silver,CZ,18,211,117,1,341.5,21.8,0.26,5959.57,5542.4023,Medium
ACC-00055,Bronze,CZ,36,61,29,3,11241.38,16.8,0.1,5386.15,9788.178,Medium
ACC-00056,Silver,SK,41,1286,150,9,38037.26,42.9,0.43,0.0,1034.8196,Low
ACC-00057,Silver,SK,31,447,77,10,122980.22,95.5,0.63,73410.65,64250.67,High
ACC-00058,Bronze,CZ,47,1025,371,17,178250.93,94.3,0.62,0.0,0.0,Low
ACC-00059,Bronze,SK,43,406,45,2,2267.61,30.5,0.27,3787.97,3662.1252,Low
ACC-00060,Bronze,CZ,40,1242,987,1,2611.9,38.1,0.19,0.0,28.96686,Low
ACC-00061,Bronze,CZ,37,1150,513,6,22748.97,42.8,0.35,0.0,0.0,Low
ACC-00062,Silver,SK,31,1258,69,12,77711.64,64.7,0.21,3854.0,3959.4639,Low
ACC-00063,Bronze,SK,35,558,102,6,46371.45,48.1,0.53,4630.38,4690.8506,Low
ACC-00064,Silver,SK,27,1038,240,7,29192.46,45.8,0.54,0.0,210.54268,Low
ACC-00065,Silver,CZ,33,977,17,5,34344.83,69.1,0.25,495.84,1393.7991,Low
ACC-00066,Bronze,CZ,37,190,104,2,7496.18,27.3,0.12,17703.32,16761.104,Medium
ACC-00067,Silver,CZ,32,1373,360,6,15391.44,42.4,0.27,0.0,0.0,Low
ACC-00068,Silver,CZ,37,763,742,1,1684.48,16.3,0.05,0.0,8.262559,Low
ACC-00069,Silver,CZ,44,218,119,1,632.71,36.4,0.21,0.0,836.6464,Low
ACC-00070,Bronze,SK,54,1459,60,13,59481.84,52.6,0.44,0.0,349.62418,Low
ACC-00071,Gold,CZ,47,262,102,3,13415.71,10.6,0.23,3291.36,17681.273,Medium
ACC-00072,Bronze,CZ,45,508,132,6,38147.23,65.7,0.22,0.0,1407.1266,Low
ACC-00073,Silver,CZ,45,19,999,0,0.0,50.4,0.52,33744.37,34071.855,High
ACC-00074,Bronze,CZ,45,181,174,1,931.58,45.5,0.28,2795.38,2896.4314,Low
ACC-00075,Gold,CZ,43,497,119,7,32134.49,65.7,0.4,2530.35,3025.753,Low
ACC-00076,Silver,SK,33,1031,56,29,262903.92,89.3,0.53,0.0,0.0,Low
ACC-00077,Silver,SK,63,689,172,22,206755.35,87.2,0.77,0.0,0.0,Low
ACC-00078,Silver,CZ,60,1252,44,26,211463.62,81.6,0.88,0.0,228.6691,Low
ACC-00079,Gold,CZ,25,1329,716,2,2655.79,12.8,0.06,0.0,1200.2955,Low
ACC-00080,Bronze,CZ,27,201,74,3,6197.93,50.1,0.45,27132.42,26312.9,High
ACC-00081,Silver,CZ,40,862,81,11,89740.21,64.4,0.21,3949.7,3506.6804,Low
ACC-00082,Gold,CZ,37,799,6,15,115837.49,88.9,0.78,73174.2,42937.258,High
ACC-00083,Silver,SK,33,614,4,8,45574.27,62.5,0.27,18218.49,17805.215,Medium
ACC-00084,Bronze,CZ,39,1422,888,2,2684.3,41.1,0.11,0.0,3.3468485,Low
ACC-00085,Silver,SK,53,1129,383,8,131769.6,62.5,0.37,0.0,218.87744,Low
ACC-00086,Silver,CZ,65,366,46,5,29089.56,54.9,0.41,16414.74,16761.527,Medium
ACC-00087,Bronze,CZ,66,1375,1015,1,1765.76,12.1,0.03,0.0,2969.2764,Low
ACC-00088,Bronze,CZ,53,1248,227,11,73353.66,68.7,0.34,0.0,304.7239,Low
ACC-00089,Bronze,CZ,23,1375,311,10,52331.1,42.8,0.23,0.0,242.43141,Low
ACC-00090,Bronze,CZ,47,662,229,5,32275.78,47.8,0.06,0.0,521.1815,Low
ACC-00091,Bronze,CZ,25,757,275,5,11880.8,12.3,0.15,0.0,0.0,Low
ACC-00092,Gold,CZ,30,767,65,18,111051.37,91.2,0.72,0.0,900.9994,Low
ACC-00093,Silver,CZ,45,278,197,1,1309.22,44.7,0.25,0.0,952.68243,Low
ACC-00094,Bronze,CZ,36,1221,80,5,30515.96,66.8,0.36,0.0,0.0,Low
ACC-00095,Silver,CZ,35,891,445,2,922.52,33.3,0.07,0.0,0.0,Low
ACC-00096,Bronze,CZ,42,81,25,2,6610.0,46.3,0.07,13374.28,12981.588,Medium
ACC-00097,Gold,SK,44,782,82,8,29635.05,54.5,0.48,0.0,7148.921,Medium
ACC-00098,Bronze,SK,49,1251,389,5,18428.77,23.2,0.07,0.0,24.109795,Low
ACC-00099,Bronze,CZ,29,609,12,10,29555.49,43.5,0.25,0.0,622.0442,Low
ACC-00100,Silver,CZ,20,1204,185,8,37304.87,68.9,0.43,0.0,1187.3184,Low
ACC-00101,Bronze,CZ,33,479,280,2,6670.61,27.5,0.16,0.0,130.82417,Low
ACC-00102,Silver,CZ,40,54,22,3,9388.07,69.8,0.41,76775.02,24028.348,Medium
ACC-00103,Gold,CZ,45,1393,541,15,147053.62,85.7,0.89,0.0,370.74103,Low
ACC-00104,Bronze,SK,29,156,1,2,3658.53,41.4,0.56,14171.75,13693.1045,Medium
ACC-00105,Bronze,SK,43,191,1,2,8977.92,58.6,0.38,51698.33,51813.94,High
ACC-00106,Bronze,CZ,22,1214,477,5,16605.73,57.5,0.34,0.0,472.53336,Low
ACC-00107,Silver,CZ,50,196,29,2,6074.37,60.9,0.59,18664.54,19831.033,Medium
ACC-00108,Silver,CZ,22,495,286,6,47489.64,48.1,0.44,0.0,15588.295,Medium
ACC-00109,Bronze,SK,47,526,81,6,13467.22,61.8,0.58,4758.32,6642.1353,Medium
ACC-00110,Bronze,SK,18,261,175,1,9180.12,32.1,0.26,0.0,10858.752,Medium
ACC-00111,Silver,CZ,33,535,13,15,183937.87,99.6,0.82,63784.97,63263.848,High
ACC-00112,Silver,CZ,24,469,132,12,91104.72,54.1,0.54,0.0,879.2533,Low
ACC-00113,Silver,SK,52,343,227,2,13883.14,60.8,0.23,11972.15,12739.879,Medium
ACC-00114,Bronze,SK,30,660,505,2,6652.96,33.4,0.27,0.0,710.63574,Low
ACC-00115,Bronze,SK,23,962,529,7,43774.28,47.2,0.35,0.0,239.18053,Low
ACC-00116,Silver,CZ,43,308,20,12,57111.61,76.2,0.61,81542.0,81286.71,High
ACC-00117,Silver,CZ,33,1202,593,7,56915.91,43.4,0.34,0.0,213.15746,Low
ACC-00118,Silver,CZ,54,887,702,5,19786.4,22.3,0.25,0.0,0.0,Low
ACC-00119,Silver,CZ,29,969,392,18,131672.95,93.8,0.54,0.0,185.84142,Low
ACC-00120,Bronze,CZ,51,1438,1014,2,4128.969999999999,41.4,0.13,0.0,452.43152,Low
ACC-00121,Bronze,SK,33,1015,557,2,4635.11,34.7,0.27,0.0,15.557834,Low
ACC-00122,Bronze,CZ,54,80,6,2,6015.83,32.2,0.19,2010.99,2315.0566,Low
ACC-00123,Bronze,CZ,36,1057,233,4,8434.9,28.0,0.16,0.0,421.68445,Low
ACC-00124,Silver,SK,33,1108,655,5,9861.86,48.0,0.26,0.0,0.0,Low
ACC-00125,Bronze,CZ,25,764,656,2,5814.31,20.3,0.15,0.0,0.0,Low
ACC-00126,Silver,SK,18,1445,672,4,6044.68,18.4,0.1,0.0,145.6823,Low
ACC-00127,Silver,CZ,25,806,83,6,16798.16,43.8,0.25,0.0,560.919,Low
ACC-00128,Silver,CZ,33,1222,569,3,10627.88,37.9,0.05,0.0,0.0,Low
ACC-00129,Silver,SK,18,689,242,4,12212.99,48.9,0.15,0.0,176.157,Low
ACC-00130,Bronze,SK,46,503,64,6,12980.09,50.4,0.34,4567.16,13137.721,Medium
ACC-00131,Silver,CZ,26,1157,348,10,32814.19,46.2,0.38,0.0,0.0,Low
ACC-00132,Bronze,CZ,67,386,267,2,5554.67,42.8,0.33,21791.05,21602.809,Medium
ACC-00133,Bronze,SK,20,932,85,8,36650.2,41.8,0.57,4411.04,4047.3984,Low
ACC-00134,Silver,CZ,51,1172,388,11,85951.05,45.5,0.5,0.0,214.73051,Low
ACC-00135,Silver,CZ,34,991,109,12,77288.59,62.4,0.39,0.0,188.02234,Low
ACC-00136,Silver,CZ,43,812,353,5,14357.14,65.3,0.47,0.0,4918.429,Low
ACC-00137,Bronze,CZ,38,994,345,5,38121.15,24.2,0.26,0.0,0.0,Low
ACC-00138,Bronze,CZ,48,1032,546,4,6710.799999999999,17.3,0.22,0.0,0.0,Low
ACC-00139,Gold,SK,23,143,5,2,21105.43,56.1,0.24,93612.86,92917.03,High
ACC-00140,Bronze,SK,51,760,27,8,41263.17,59.5,0.34,1925.25,2370.3845,Low
ACC-00141,Gold,SK,47,1026,100,10,42941.71,56.7,0.49,0.0,3835.887,Low
ACC-00142,Silver,CZ,22,771,102,11,33831.86,50.9,0.31,0.0,870.32794,Low
ACC-00143,Gold,CZ,32,442,5,10,92414.8,68.0,0.33,1641.13,3230.3606,Low
ACC-00144,Bronze,SK,43,1394,56,10,66993.98999999999,54.6,0.35,18742.47,16550.482,Medium
ACC-00145,Silver,CZ,24,585,490,2,4226.049999999999,55.7,0.23,13995.06,13255.088,Medium
ACC-00146,Silver,SK,46,187,19,3,12164.86,69.1,0.36,6592.0,7173.9204,Medium
ACC-00147,Silver,CZ,40,105,18,3,9472.92,61.7,0.4,4330.1,5701.703,Medium
ACC-00148,Gold,CZ,21,644,55,15,161262.44,78.4,0.73,14673.93,14959.863,Medium
ACC-00149,Silver,CZ,46,867,16,26,220392.32,92.1,0.58,12619.08,12608.626,Medium
ACC-00150,Silver,CZ,34,451,140,7,43987.61,57.4,0.32,0.0,553.00256,Low
ACC-00151,Bronze,CZ,29,1103,497,10,46112.12,53.6,0.35,0.0,0.0,Low
ACC-00152,Silver,CZ,36,1420,401,6,28085.13,60.5,0.28,2944.2,2804.5867,Low
ACC-00153,Bronze,CZ,28,7,999,0,0.0,14.7,0.0,4390.96,4545.0464,Low
ACC-00154,Silver,CZ,30,955,27,9,61783.89,67.9,0.34,3524.84,3394.6343,Low
ACC-00155,Bronze,SK,42,1233,39,8,31487.41,69.7,0.57,18282.78,16931.857,Medium
ACC-00156,Bronze,CZ,57,432,102,2,1417.27,38.9,0.28,6188.9,3143.7212,Low
ACC-00157,Silver,CZ,38,645,96,3,24530.73,40.0,0.25,1433.13,3769.4734,Low
ACC-00158,Gold,SK,41,1238,396,18,103758.88,77.1,0.57,0.0,0.0,Low
ACC-00159,Bronze,CZ,40,812,41,8,44050.31,60.5,0.44,17067.09,1928.2537,Low
ACC-00160,Silver,SK,22,530,193,4,48075.87,50.7,0.43,68335.6,65945.08,High
ACC-00161,Bronze,CZ,34,302,42,2,24418.08,31.7,0.07,8991.53,8758.249,Medium
ACC-00162,Gold,CZ,35,239,23,7,65271.59,90.8,0.79,90165.68,89940.28,High
ACC-00163,Bronze,SK,37,695,547,2,6603.16,45.8,0.16,0.0,1223.6101,Low
ACC-00164,Silver,CZ,33,768,14,19,125060.9,77.5,0.62,20191.57,38668.07,High
ACC-00165,Bronze,CZ,32,1396,672,12,120166.33,66.3,0.5,0.0,0.0,Low
ACC-00166,Silver,CZ,34,983,538,6,30872.0,65.4,0.24,0.0,673.869,Low
ACC-00167,Bronze,CZ,38,239,221,1,1510.15,29.5,0.16,0.0,0.0,Low
ACC-00168,Bronze,SK,28,1337,453,6,16723.27,56.3,0.48,0.0,71.91218,Low
ACC-00169,Bronze,CZ,20,1404,238,4,5482.01,46.3,0.05,743.58,1439.0857,Low
ACC-00170,Gold,SK,42,1300,366,15,137994.87,58.4,0.32,0.0,0.0,Low
ACC-00171,Silver,CZ,19,1255,502,10,85923.27,40.5,0.44,0.0,0.0,Low
ACC-00172,Silver,CZ,26,541,260,5,18505.56,37.9,0.17,0.0,393.282,Low
ACC-00173,Bronze,CZ,39,1413,83,11,102648.89,58.2,0.43,0.0,983.10156,Low
ACC-00174,Bronze,CZ,29,328,74,4,13304.36,53.5,0.57,5717.379999999999,5999.7007,Medium
ACC-00175,Silver,CZ,31,998,505,12,77034.6,65.1,0.27,0.0,0.0,Low
ACC-00176,Silver,CZ,41,772,359,8,35255.6,52.0,0.44,0.0,837.00305,Low
ACC-00177,Bronze,SK,43,145,8,4,24867.24,40.1,0.52,24921.05,25590.365,High
ACC-00178,Gold,CZ,36,524,34,12,80000.35,54.0,0.57,0.0,350.4591,Low
ACC-00179,Gold,CZ,40,734,64,16,109517.68,97.4,0.51,64373.83,26479.076,High
ACC-00180,Silver,CZ,31,1415,285,11,115350.01,41.0,0.27,0.0,303.26364,Low
ACC-00181,Gold,CZ,31,1105,440,21,156124.23,76.4,0.59,0.0,0.0,Low
ACC-00182,Silver,CZ,22,380,130,2,4568.15,32.3,0.14,5326.42,4741.355,Low
ACC-00183,Silver,SK,39,1386,555,6,20204.61,49.3,0.32,0.0,203.49988,Low
ACC-00184,Bronze,SK,28,274,183,1,6157.27,17.6,0.06,6193.46,5423.192,Medium
ACC-00185,Bronze,SK,31,413,330,1,8877.67,21.8,0.18,710.49,6441.133,Medium
ACC-00186,Bronze,CZ,28,866,660,4,7187.889999999999,29.2,0.16,0.0,0.0,Low
ACC-00187,Gold,SK,27,341,209,3,5015.29,23.4,0.03,1547.03,2339.3308,Low
ACC-00188,Silver,CZ,38,418,1,3,6078.93,59.3,0.31,75664.64,73594.47,High
ACC-00189,Silver,CZ,38,416,8,11,76060.19,52.2,0.55,20789.86,20770.164,Medium
ACC-00190,Silver,SK,25,412,51,4,14452.97,64.0,0.24,5942.9,7991.821,Medium
ACC-00191,Bronze,SK,37,526,90,6,11929.05,64.2,0.49,0.0,1350.2001,Low
ACC-00192,Bronze,CZ,32,12,999,0,0.0,18.2,0.2,3203.84,3018.2102,Low
ACC-00193,Silver,SK,55,846,15,10,41465.39,62.1,0.45,0.0,2267.483,Low
ACC-00194,Bronze,SK,18,649,152,3,4382.57,35.7,0.26,0.0,588.0303,Low
ACC-00195,Gold,CZ,51,1378,68,11,48929.13,50.1,0.45,7349.59,7395.1504,Medium
ACC-00196,Silver,CZ,35,1263,37,10,65344.69,50.4,0.53,0.0,903.33307,Low
ACC-00197,Bronze,CZ,26,228,4,2,16305.97,69.2,0.29,30361.67,29994.914,High
ACC-00198,Silver,CZ,36,1369,772,6,61351.01,69.6,0.43,0.0,380.03476,Low
ACC-00199,Gold,CZ,36,161,81,2,9277.3,56.2,0.31,52067.6,39527.38,High
ACC-00200,Silver,CZ,32,1276,583,16,152805.61,95.0,0.56,0.0,0.0,Low
ACC-00201,Bronze,SK,29,789,13,11,40327.44,67.4,0.21,2946.62,3048.9255,Low
ACC-00202,Silver,SK,39,611,577,1,449.06,32.2,0.08,0.0,384.83365,Low
ACC-00203,Bronze,SK,25,371,307,1,1633.63,10.4,0.06,10531.71,8359.601,Medium
ACC-00204,Bronze,CZ,35,1093,275,9,53589.97,47.5,0.49,0.0,322.11646,Low
ACC-00205,Bronze,CZ,42,556,48,6,30640.58,52.6,0.57,0.0,846.9137,Low
ACC-00206,Bronze,CZ,25,1283,597,2,5292.41,16.7,0.01,0.0,0.0,Low
ACC-00207,Bronze,CZ,31,133,87,2,5992.93,19.8,0.18,496.55,2354.4644,Low
ACC-00208,Bronze,CZ,30,463,0,6,45433.32,61.6,0.34,13240.580000000002,13116.327,Medium
ACC-00209,Bronze,CZ,25,942,444,2,10100.09,47.5,0.2,0.0,599.4672,Low
ACC-00210,Bronze,CZ,31,42,999,0,0.0,20.5,0.01,12697.509999999998,9074.934,Medium
ACC-00211,Silver,CZ,43,416,47,9,106883.4,87.9,0.7,49469.6,62700.45,High
ACC-00212,Silver,CZ,30,121,71,1,1859.84,13.0,0.03,29026.21,28296.408,High
ACC-00213,Bronze,SK,42,839,579,3,4859.95,27.4,0.21,0.0,0.0,Low
ACC-00214,Bronze,CZ,33,283,270,1,4749.65,37.8,0.24,5993.84,5309.155,Medium
ACC-00215,Silver,CZ,27,207,22,2,17757.9,42.7,0.34,22015.68,21328.23,Medium
ACC-00216,Bronze,CZ,20,590,58,4,6799.93,55.6,0.48,12320.02,11830.006,Medium
ACC-00217,Bronze,CZ,44,1188,526,8,30032.69,64.2,0.49,0.0,144.29434,Low
ACC-00218,Bronze,SK,40,569,109,6,20055.87,54.7,0.3,13414.64,12214.193,Medium
ACC-00219,Bronze,CZ,44,954,621,8,41104.07,41.3,0.47,0.0,2266.4204,Low
ACC-00220,Bronze,CZ,29,329,291,1,9230.38,22.5,0.14,6837.26,6385.9873,Medium
ACC-00221,Bronze,SK,30,1296,403,6,13559.59,43.5,0.28,0.0,1380.0536,Low
ACC-00222,Bronze,SK,18,128,0,2,19258.73,12.2,0.22,13146.44,13046.049,Medium
ACC-00223,Gold,SK,45,66,999,0,0.0,36.0,0.19,16750.54,17401.475,Medium
ACC-00224,Silver,CZ,43,1049,852,2,14267.1,37.9,0.02,0.0,0.0,Low
ACC-00225,Bronze,CZ,46,508,349,2,8915.64,42.2,0.17,2620.4,3625.6265,Low
ACC-00226,Bronze,CZ,52,1366,29,12,45432.95,66.6,0.45,0.0,663.0371,Low
ACC-00227,Silver,SK,28,394,30,5,30590.7,40.6,0.55,55851.75,54761.598,High
ACC-00228,Bronze,CZ,30,644,167,6,58902.83,40.3,0.23,16682.77,15895.11,Medium
ACC-00229,Gold,SK,42,1157,246,23,243196.41,84.4,0.52,0.0,107.80968,Low
ACC-00230,Silver,CZ,18,1371,211,5,6275.49,62.0,0.41,0.0,440.56992,Low
ACC-00231,Gold,CZ,27,515,24,10,66229.44,95.6,0.62,81484.31999999999,81688.086,High
ACC-00232,Gold,SK,41,1019,103,24,200278.57,97.3,0.61,0.0,6366.6636,Medium
ACC-00233,Bronze,CZ,22,48,999,0,0.0,15.0,0.12,6149.03,6069.3374,Medium
ACC-00234,Gold,SK,37,1054,462,6,87773.39,69.5,0.44,0.0,1150.9352,Low
ACC-00235,Bronze,CZ,40,404,339,1,2402.89,49.6,0.05,4201.68,3551.0405,Low
ACC-00236,Silver,CZ,39,362,128,5,15726.11,46.9,0.41,55534.96,52230.336,High
ACC-00237,Gold,SK,26,1168,987,3,11326.87,41.2,0.06,0.0,187.1768,Low
ACC-00238,Bronze,CZ,40,979,251,13,44642.31,55.5,0.29,0.0,0.0,Low
ACC-00239,Silver,SK,49,1174,37,11,60899.74,60.9,0.5,2744.38,2948.7517,Low
ACC-00240,Bronze,CZ,41,1106,235,12,117405.74,62.4,0.45,0.0,27.902412,Low
ACC-00241,Bronze,CZ,38,1167,719,6,23984.32,53.7,0.54,0.0,4278.736,Low
ACC-00242,Silver,SK,29,1152,638,4,11162.4,44.1,0.01,0.0,0.0,Low
ACC-00243,Bronze,CZ,26,304,212,1,1596.74,39.4,0.28,505.15,1143.6149,Low
ACC-00244,Bronze,CZ,31,680,572,1,3433.13,37.8,0.0,0.0,686.1534,Low
ACC-00245,Bronze,SK,61,18,999,0,0.0,37.3,0.07,10703.8,16171.707,Medium
ACC-00246,Gold,CZ,34,1307,221,13,34904.78,54.4,0.4,0.0,0.0,Low
ACC-00247,Silver,CZ,50,415,53,5,24630.79,37.1,0.1,0.0,126.3449,Low
ACC-00248,Silver,CZ,31,610,3,6,37427.7,66.0,0.41,6378.82,11762.51,Medium
ACC-00249,Silver,CZ,32,254,23,1,4051.67,60.9,0.53,17566.53,17982.889,Medium
ACC-00250,Bronze,CZ,51,1169,541,7,45085.14,68.8,0.55,0.0,0.0,Low
ACC-00251,Bronze,SK,32,1269,447,4,57908.280000000006,42.8,0.0,0.0,0.0,Low
ACC-00252,Bronze,CZ,18,1191,912,4,4850.32,32.2,0.0,0.0,26.072006,Low
ACC-00253,Gold,CZ,25,782,22,23,195316.64,72.5,0.58,53917.91,53376.332,High
ACC-00254,Silver,CZ,36,654,38,5,39706.99,25.1,0.03,0.0,532.68335,Low
ACC-00255,Gold,CZ,18,1213,416,22,190820.72,70.6,0.61,0.0,0.0,Low
ACC-00256,Silver,CZ,36,321,83,3,8256.85,17.2,0.12,4426.93,4697.237,Low
ACC-00257,Bronze,SK,47,834,85,7,26046.05,63.1,0.27,18732.58,15609.161,Medium
ACC-00258,Silver,CZ,44,1031,546,12,63820.43,57.5,0.23,0.0,210.3895,Low
ACC-00259,Silver,CZ,40,301,5,8,65005.77,90.3,0.9,92536.31,92331.375,High
ACC-00260,Gold,SK,34,1036,333,17,191097.89,72.0,0.65,0.0,108.82309,Low
ACC-00261,Bronze,CZ,27,239,34,3,4331.22,20.1,0.25,0.0,9298.688,Medium
ACC-00262,Gold,CZ,50,884,501,10,57747.86,68.3,0.39,0.0,0.0,Low
ACC-00263,Silver,SK,38,1251,469,19,160422.15,94.8,0.71,0.0,102.869125,Low
ACC-00264,Silver,CZ,26,114,28,2,11333.54,19.2,0.23,15170.08,14832.584,Medium
ACC-00265,Gold,CZ,26,605,17,16,97784.25,70.9,0.89,25327.69,25564.254,High
ACC-00266,Gold,CZ,59,594,272,6,10498.67,48.2,0.36,35801.89,8300.679,Medium
ACC-00267,Bronze,CZ,29,1285,704,2,3746.86,39.8,0.22,0.0,0.0,Low
ACC-00268,Bronze,CZ,25,1019,441,2,3542.73,32.5,0.21,0.0,0.0,Low
ACC-00269,Silver,SK,38,455,7,12,70543.07,42.7,0.28,26278.48,24995.916,Medium
ACC-00270,Silver,CZ,28,1249,213,10,32561.28,63.9,0.21,24898.870000000003,21602.738,Medium
ACC-00271,Bronze,CZ,20,631,583,2,3624.99,17.4,0.29,0.0,306.6145,Low
ACC-00272,Gold,CZ,47,906,60,7,55665.25,47.4,0.44,0.0,603.1509,Low
ACC-00273,Gold,CZ,43,892,244,10,50696.07,49.3,0.52,0.0,0.0,Low
ACC-00274,Bronze,CZ,39,166,27,3,9286.64,51.9,0.47,23351.32,23481.102,Medium
ACC-00275,Silver,CZ,37,468,124,4,22990.06,46.3,0.29,0.0,6621.7495,Medium
ACC-00276,Bronze,CZ,33,136,14,2,4843.92,14.1,0.04,12570.53,7440.8457,Medium
ACC-00277,Gold,CZ,47,743,64,6,25141.61,63.3,0.34,0.0,1513.2279,Low
ACC-00278,Silver,CZ,48,161,53,5,61092.18,80.5,0.54,96740.07,59732.637,High
ACC-00279,Bronze,CZ,38,610,47,8,28526.9,57.0,0.25,5905.99,7041.752,Medium
ACC-00280,Gold,SK,43,206,20,7,34005.06,90.1,0.52,118346.88,117271.52,High
