account_external_id,recency_days,frequency,monetary_total,monetary_avg,monetary_max,monetary_std,avg_discount_pct,avg_quantity,return_rate,category_diversity,spend_2022,spend_2023,spend_2024,spend_trend_2y,spend_trend_1y,login_count_30d,login_count_90d,email_open_rate,app_usage_score,support_tickets,days_since_login,age,tenure_days,loyalty_tier_enc,is_cz,campaign_opt_in,channel_Mobile App,channel_Store,channel_Web,clv_2025,loyalty_tier_label
ACC-00031,44,3,38440.17,12813.39,18119.53,7715.251105770958,3.3333333333333335,1.6666666666666667,0.0,2,0.0,0.0,38440.17,38440.17,38440.17,3,21,0.21,38.5,4,112,22,359,1,0,0,0,0,1,4894.33,Bronze
ACC-00032,211,9,55603.99,6178.221111111111,19014.5,5475.90291100802,1.6666666666666667,1.3333333333333333,0.1,4,0.0,22944.190000000002,32659.8,32659.8,0.4234268707297693,12,38,0.31,69.3,3,53,35,595,1,1,1,0,1,0,9350.57,Bronze
ACC-00033,495,1,116.15,116.15,116.15,0.0,10.0,1.0,0.0,1,0.0,116.15,0.0,0.0,-0.9914639351259069,6,15,0.1,35.4,5,1,18,563,2,1,0,1,0,0,0.0,Silver
ACC-00034,30,7,27745.65,3963.664285714286,9069.92,2395.271422120794,7.857142857142857,1.4285714285714286,0.0,6,0.0,0.0,27745.65,27745.65,27745.65,9,30,0.38,56.6,3,54,33,330,2,0,1,0,1,0,0.0,Silver
ACC-00035,64,1,3702.65,3702.65,3702.65,0.0,0.0,1.0,0.0,1,0.0,0.0,3702.65,3702.65,3702.65,2,14,0.07,39.1,4,115,34,94,1,1,0,0,0,1,0.0,Bronze
ACC-00036,481,1,3068.89,3068.89,3068.89,0.0,5.0,1.0,0.0,1,0.0,3068.89,0.0,0.0,-0.9996742554293476,1,11,0.12,42.7,0,72,62,534,1,1,1,0,1,0,17125.989999999998,Bronze
ACC-00037,665,7,114670.78,16381.539999999999,52739.94,20930.196600332416,1.4285714285714286,1.8571428571428572,0.0,5,58126.85,56543.93,0.0,-0.9999827965424491,-0.9999823149484843,10,35,0.22,57.7,2,35,37,1360,1,1,0,0,0,0,0.0,Bronze
ACC-00038,18,2,5063.13,2531.565,3648.67,1579.8250415947964,7.5,1.0,0.0,2,0.0,0.0,5063.13,5063.13,5063.13,7,19,0.52,50.5,3,104,35,132,1,0,0,0,1,0,7073.32,Bronze
ACC-00039,349,1,7239.02,7239.02,7239.02,0.0,0.0,2.0,0.0,1,0.0,0.0,7239.02,7239.02,7239.02,0,12,0.12,47.5,0,10,68,381,1,0,1,0,0,1,1013.85,Bronze
ACC-00040,142,3,16910.67,5636.889999999999,11912.13,5575.886342573707,1.6666666666666667,1.6666666666666667,0.0,3,0.0,0.0,16910.67,16910.67,16910.67,3,16,0.03,47.0,5,41,26,399,2,1,1,0,1,0,0.0,Silver
ACC-00041,217,9,40636.68,4515.1866666666665,12674.22,3952.452533775706,6.111111111111111,1.3333333333333333,0.0,6,0.0,25607.46,15029.220000000001,15029.220000000001,-0.41307599129350214,7,23,0.46,64.5,0,115,31,574,2,1,0,0,1,0,26886.48,Silver
ACC-00042,510,1,4946.19,4946.19,4946.19,0.0,20.0,2.0,0.0,1,0.0,4946.19,0.0,0.0,-0.9997978650506651,3,8,0.07,13.7,3,68,18,560,1,1,1,0,0,0,0.0,Bronze
ACC-00043,19,5,24495.89,4899.178,7786.41,3023.4908437136037,3.0,1.6,0.16666666666666666,2,0.0,0.0,24495.89,24495.89,24495.89,9,27,0.31,61.0,2,19,45,470,2,0,1,0,0,0,13292.13,Silver
ACC-00044,57,7,44190.340000000004,6312.905714285715,13467.24,4186.583671749784,4.285714285714286,1.4285714285714286,0.0,2,13467.24,27110.17,3612.93,-0.7316702108070542,-0.8666995928246549,12,22,0.46,42.5,3,37,23,833,2,1,1,1,0,0,4169.15,Silver
ACC-00045,337,5,20191.87,4038.374,8869.85,2976.7944136654787,6.0,1.2,0.0,4,0.0,15339.699999999999,4852.17,4852.17,-0.6836409029574921,12,41,0.43,51.2,0,98,53,498,1,1,0,0,0,1,1937.24,Bronze
ACC-00046,1074,1,5745.29,5745.29,5745.29,0.0,0.0,1.0,0.0,1,5745.29,0.0,0.0,-0.9998259746723538,0.0,0,17,0.09,22.2,1,53,25,1311,1,1,0,0,0,0,0.0,Bronze
ACC-00047,51,7,65132.41,9304.630000000001,23794.84,7886.135160121211,7.142857142857143,1.2857142857142858,0.0,4,0.0,28589.86,36542.55,36542.55,0.27815497680027823,7,32,0.6,45.3,3,32,28,497,1,1,0,0,0,0,12324.94,Bronze
ACC-00048,239,22,110755.79000000001,5034.354090909092,15041.87,3767.18492551851,3.1818181818181817,1.3636363636363635,0.0,6,40418.47,42504.29,27833.03,-0.31137073296606815,-0.3451631549861206,23,53,0.57,81.0,2,66,37,984,2,1,1,0,0,1,0.0,Silver
ACC-00049,38,7,36092.36,5156.051428571429,9762.5,3225.363184115491,2.857142857142857,1.7142857142857142,0.0,4,0.0,0.0,36092.36,36092.36,36092.36,5,15,0.42,55.3,4,50,18,267,2,0,1,1,0,0,8671.86,Silver
ACC-00050,356,10,50557.22,5055.722,23245.9,6833.329717608475,2.0,1.3,0.0,6,31147.23,14261.04,5148.95,-0.8346631574249965,-0.6389050935209829,10,27,0.45,63.8,0,27,47,1383,1,0,0,0,1,0,0.0,Bronze
ACC-00051,254,6,60036.0,10006.0,34980.98,12820.606999442734,4.166666666666667,1.5,0.0,6,11813.94,11961.79,36260.270000000004,2.069103186304797,2.031171658116543,5,19,0.29,55.0,3,34,19,1429,2,0,1,0,1,0,0.0,Silver
ACC-00052,256,14,86570.22,6183.587142857143,25976.48,6173.832893572715,1.7857142857142858,1.5714285714285714,0.0,6,11784.95,65846.54,8938.73,-0.24149262469296076,-0.864235930453894,5,31,0.6,54.1,4,5,49,978,2,1,1,0,1,0,0.0,Silver
ACC-00053,2,8,57598.3,7199.7875,15775.18,5017.12697468453,6.875,1.25,0.0,5,0.0,0.0,57598.3,57598.3,57598.3,7,25,0.58,49.9,4,94,24,316,2,0,0,0,1,0,10469.380000000001,Silver
ACC-00054,117,1,341.5,341.5,341.5,0.0,15.0,1.0,0.0,1,0.0,0.0,341.5,341.5,341.5,2,18,0.26,21.8,4,31,18,211,2,1,1,0,0,0,5959.57,Silver
ACC-00055,29,3,11241.380000000001,3747.126666666667,5755.96,2964.941707830583,6.666666666666667,1.3333333333333333,0.0,3,0.0,0.0,11241.380000000001,11241.380000000001,11241.380000000001,6,11,0.1,16.8,0,105,36,61,1,1,0,0,0,1,5386.15,Bronze
ACC-00056,150,9,38037.26,4226.362222222222,9006.98,2545.401670826128,3.3333333333333335,1.4444444444444444,0.0,5,18603.3,0.0,19433.96,0.044648817746434956,19433.96,10,22,0.43,42.9,1,26,41,1286,2,0,1,0,1,0,0.0,Silver
ACC-00057,77,10,122980.22,12298.022,32616.2,9816.872978042335,2.5,1.9,0.09090909090909091,5,0.0,74927.53,48052.69,48052.69,-0.3586729914493184,19,30,0.63,95.5,0,42,31,447,2,0,1,0,1,0,73410.65,Silver
ACC-00058,371,17,178250.93,10485.348823529412,59470.29,14094.870332748666,2.3529411764705883,1.588235294117647,0.0,5,121453.49,56797.44,0.0,-0.9999917664633066,-0.9999823938826489,25,41,0.62,94.3,2,49,47,1025,1,1,1,0,0,1,0.0,Bronze
ACC-00059,45,2,2267.61,1133.805,1602.19,662.3964194121222,0.0,1.5,0.0,2,0.0,0.0,2267.61,2267.61,2267.61,0,12,0.27,30.5,0,35,43,406,1,0,1,0,0,1,3787.97,Bronze
ACC-00060,987,1,2611.9,2611.9,2611.9,0.0,10.0,1.0,0.0,1,2611.9,0.0,0.0,-0.9996172834781277,0.0,4,12,0.19,38.1,5,75,40,1242,1,1,1,0,0,0,0.0,Bronze
ACC-00061,513,6,22748.97,3791.4950000000003,8556.44,2641.899271189195,6.666666666666667,1.3333333333333333,0.0,4,10129.710000000001,12619.26,0.0,-0.9999012902353339,-0.9999207623297777,7,31,0.35,42.8,2,24,37,1150,1,1,0,0,0,0,0.0,Bronze
ACC-00062,69,12,77711.64,6475.97,27714.26,7130.589053582652,4.583333333333333,1.5,0.0,5,13718.029999999999,49818.15,14175.46,0.033342736330484034,-0.7154415520939238,14,40,0.21,64.7,2,59,31,1258,2,0,0,0,0,0,3854.0,Silver
ACC-00063,102,6,46371.45,7728.575,17374.66,6489.109085502417,5.0,1.3333333333333333,0.0,3,0.0,32545.37,13826.08,13826.08,-0.5751575367698456,9,19,0.53,48.1,3,4,35,558,1,0,1,0,0,0,4630.38,Bronze
ACC-00064,240,7,29192.46,4170.351428571428,7931.68,2542.5750556239145,7.142857142857143,1.0,0.0,4,15506.23,7257.2,6429.030000000001,-0.5853527677089976,-0.11410129233143192,11,24,0.54,45.8,2,54,27,1038,2,0,0,0,1,0,0.0,Silver
ACC-00065,17,5,34344.83,6868.966,12645.61,4923.735614625343,5.0,1.6,0.0,3,12645.61,11531.11,10168.11,-0.1959023010909643,-0.1181917272728061,12,41,0.25,69.1,1,29,33,977,2,1,1,0,0,0,495.84,Silver
ACC-00066,104,2,7496.18,3748.09,4976.87,1737.757341172812,5.0,1.5,0.3333333333333333,2,0.0,0.0,7496.18,7496.18,7496.18,2,7,0.12,27.3,1,54,37,190,1,1,1,0,0,0,17703.32,Bronze
ACC-00067,360,6,15391.44,2565.2400000000002,4741.3,1707.3695554155813,3.3333333333333335,1.1666666666666667,0.14285714285714285,5,9641.77,4155.98,1593.69,-0.8346232462248918,-0.6163825661898782,14,28,0.27,42.4,0,11,32,1373,2,1,1,0,0,0,0.0,Silver
ACC-00068,742,1,1684.48,1684.48,1684.48,0.0,15.0,1.0,0.0,1,1684.48,0.0,0.0,-0.999406697201984,0.0,4,9,0.05,16.3,1,95,37,763,2,1,1,0,0,1,0.0,Silver
ACC-00069,119,1,632.71,632.71,632.71,0.0,15.0,1.0,0.0,1,0.0,0.0,632.71,632.71,632.71,5,15,0.21,36.4,4,0,44,218,2,1,0,0,1,0,0.0,Silver
ACC-00070,60,13,59481.84,4575.526153846154,12772.86,4139.415023940658,6.923076923076923,1.1538461538461537,0.0,6,27177.4,8676.55,23627.89,-0.13060040326141353,1.722990936381813,11,25,0.44,52.6,3,25,54,1459,1,0,1,0,0,1,0.0,Bronze
ACC-00071,102,3,13415.71,4471.903333333333,6317.93,2548.9445086414366,1.6666666666666667,1.0,0.0,3,0.0,0.0,13415.71,13415.71,13415.71,7,14,0.23,10.6,5,91,47,262,3,1,1,0,1,0,3291.36,Gold
ACC-00072,132,6,38147.23,6357.871666666667,24562.08,9062.86056440993,9.166666666666666,1.3333333333333333,0.0,3,0.0,4713.22,33434.01,33434.01,6.092373711875983,9,33,0.22,65.7,3,68,45,508,1,1,1,1,0,0,0.0,Bronze
ACC-00073,999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14,39,0.52,50.4,4,22,45,19,2,1,1,0,0,1,33744.37,Silver
ACC-00074,174,1,931.58,931.58,931.58,0.0,10.0,3.0,0.0,1,0.0,0.0,931.58,931.58,931.58,1,15,0.28,45.5,3,94,45,181,1,1,1,0,0,1,2795.38,Bronze
ACC-00075,119,7,32134.49,4590.641428571429,11245.7,4368.25810706216,7.142857142857143,1.2857142857142858,0.0,5,0.0,8611.32,23523.170000000002,23523.170000000002,1.7314556356475377,14,42,0.4,65.7,4,108,43,497,3,1,1,1,0,0,2530.35,Gold
ACC-00076,56,29,262903.92,9065.652413793103,25074.45,6466.259051193386,3.2758620689655173,1.7586206896551724,0.0,6,94523.31,85312.48999999999,83068.12,-0.12118776640633508,-0.02630732841898738,13,38,0.53,89.3,0,91,33,1031,2,0,1,0,0,0,0.0,Silver
ACC-00077,172,22,206755.35,9397.970454545455,27521.18,8670.890537394138,1.8181818181818181,1.6818181818181819,0.0,5,0.0,113133.3,93622.05,93622.05,-0.1724609601155441,29,62,0.77,87.2,0,32,63,689,2,0,1,0,0,1,0.0,Silver
ACC-00078,44,26,211463.62,8133.216153846153,46061.36,9659.419950190832,1.7307692307692308,1.7692307692307692,0.037037037037037035,6,58943.08,48533.56,103986.98000000001,0.7641802196251092,1.1425553255247398,28,48,0.88,81.6,0,39,60,1252,2,1,1,1,0,0,0.0,Silver
ACC-00079,716,2,2655.79,1327.895,1593.22,375.2262134366415,5.0,1.0,0.3333333333333333,2,1593.22,1062.57,0.0,-0.9993727340015807,-0.9990597703959306,1,16,0.06,12.8,6,45,25,1329,3,1,0,0,1,0,0.0,Gold
ACC-00080,74,3,6197.93,2065.976666666667,3513.37,1480.8854440952996,5.0,1.3333333333333333,0.0,3,0.0,0.0,6197.93,6197.93,6197.93,6,34,0.45,50.1,1,7,27,201,1,1,1,0,0,1,27132.420000000002,Bronze
ACC-00081,81,11,89740.21,8158.20090909091,14388.35,4867.332534301421,3.1818181818181817,1.6363636363636365,0.0,4,14388.35,14305.46,61046.4,3.242540490015185,3.2671212864677917,14,33,0.21,64.4,0,6,40,862,2,1,1,0,1,0,3949.7,Silver
ACC-00082,6,15,115837.49,7722.499333333334,15492.92,4578.28943012635,2.6666666666666665,1.8666666666666667,0.0,5,0.0,82050.37,33787.12,33787.12,-0.5882077288898405,13,48,0.78,88.9,0,35,37,799,3,1,1,0,0,0,73174.2,Gold
ACC-00083,4,8,45574.27,5696.78375,15348.88,4878.34167844811,5.625,1.125,0.2,4,0.0,12570.01,33004.259999999995,33004.259999999995,1.6255058265008135,13,26,0.27,62.5,2,48,33,614,2,0,1,1,0,0,18218.489999999998,Silver
ACC-00084,888,2,2684.3,1342.15,1874.51,752.870732064941,2.5,1.0,0.0,2,2684.3,0.0,0.0,-0.9996276021301158,0.0,2,10,0.11,41.1,6,61,39,1422,1,1,1,0,0,1,0.0,Bronze
ACC-00085,383,8,131769.6,16471.2,44628.08,15070.482497700123,1.25,2.25,0.1111111111111111,4,59430.54,72339.06,0.0,-0.9999831739174183,-0.9999861764007384,9,30,0.37,62.5,0,98,53,1129,2,0,1,0,0,1,0.0,Silver
ACC-00086,46,5,29089.56,5817.912,10099.52,3220.628793895689,1.0,1.4,0.0,4,0.0,0.0,29089.56,29089.56,29089.56,13,39,0.41,54.9,0,85,65,366,2,1,1,0,0,0,16414.74,Silver
ACC-00087,1015,1,1765.76,1765.76,1765.76,0.0,0.0,1.0,0.0,1,1765.76,0.0,0.0,-0.9994339921664516,0.0,4,19,0.03,12.1,4,104,66,1375,1,1,0,0,1,0,0.0,Bronze
ACC-00088,227,11,73353.66,6668.514545454545,15220.68,5103.0295486374835,3.1818181818181817,1.4545454545454546,0.0,5,42240.69,9833.24,21279.73,-0.49621499518603546,1.1639425110633868,7,28,0.34,68.7,3,82,53,1248,1,1,0,0,0,0,0.0,Bronze
ACC-00089,311,10,52331.1,5233.11,10635.84,3038.3358379144915,2.5,1.4,0.0,5,22810.38,21686.64,7834.08,-0.6565275752716407,-0.6387306318253162,14,38,0.23,42.8,3,24,23,1375,1,1,0,0,0,0,0.0,Bronze
ACC-00090,229,5,32275.78,6455.156,12914.02,3874.021086826968,8.0,1.6,0.0,4,0.0,10284.58,21991.2,21991.2,1.1381584704022525,3,18,0.06,47.8,0,38,47,662,1,1,0,0,0,1,0.0,Bronze
ACC-00091,275,5,11880.800000000001,2376.1600000000003,6277.72,2653.2119826636545,8.0,1.2,0.0,5,0.0,5603.08,6277.72,6277.72,0.12038372043225656,4,13,0.15,12.3,6,4,25,757,1,1,0,0,0,1,0.0,Bronze
ACC-00092,65,18,111051.37000000001,6169.520555555556,14670.86,3518.4746792416145,2.7777777777777777,1.4444444444444444,0.0,6,10537.419999999998,52427.16,48086.79,3.5630929494174657,-0.08278699843748097,12,44,0.72,91.2,2,75,30,767,3,1,1,0,0,1,0.0,Gold
ACC-00093,197,1,1309.22,1309.22,1309.22,0.0,0.0,1.0,0.0,1,0.0,0.0,1309.22,1309.22,1309.22,0,14,0.25,44.7,5,6,45,278,2,1,0,1,0,0,0.0,Silver
ACC-00094,80,5,30515.96,6103.192,15694.65,5580.084692204053,7.0,1.8,0.16666666666666666,4,5743.75,21400.53,3371.68,-0.41291091866486795,-0.8424093978327718,12,31,0.36,66.8,1,4,36,1221,1,1,1,0,0,1,0.0,Bronze
ACC-00095,445,2,922.52,461.26,603.18,200.70518877198964,10.0,1.0,0.6,2,603.18,319.34,0.0,-0.9983448641133437,-0.9968783167884123,4,13,0.07,33.3,4,64,35,891,2,1,1,0,0,0,0.0,Silver
ACC-00096,25,2,6610.0,3305.0,3613.94,436.90713795954406,7.5,1.0,0.0,2,0.0,0.0,6610.0,6610.0,6610.0,5,13,0.07,46.3,4,3,42,81,1,1,1,0,0,1,13374.28,Bronze
ACC-00097,82,8,29635.05,3704.38125,12788.82,4062.230472934921,5.625,1.375,0.0,5,0.0,16274.46,13360.59,13360.59,-0.17903457106588688,8,23,0.48,54.5,3,53,44,782,3,0,1,1,0,0,0.0,Gold
ACC-00098,389,5,18428.77,3685.754,8110.33,3158.1802204798255,6.0,1.6,0.0,4,14233.619999999999,4195.15,0.0,-0.9999297487393412,-0.9997616863076868,6,21,0.07,23.2,5,66,49,1251,1,0,1,0,1,0,0.0,Bronze
ACC-00099,12,10,29555.489999999998,2955.549,5592.76,1695.5403890890427,4.5,1.3,0.0,6,0.0,11890.009999999998,17665.48,17665.48,0.4857005418379096,6,35,0.25,43.5,0,38,29,609,1,1,1,0,1,0,0.0,Bronze
ACC-00100,185,8,37304.869999999995,4663.108749999999,9924.06,2597.640976437976,3.125,1.0,0.1111111111111111,5,21218.37,6162.44,9924.06,-0.5322641529885195,0.6103117739444207,5,17,0.43,68.9,3,112,20,1204,2,1,1,1,0,0,0.0,Silver
ACC-00101,280,2,6670.61,3335.305,4935.33,2262.7770551360113,0.0,1.5,0.0,2,0.0,1735.28,4935.33,4935.33,1.8430495081438478,0,12,0.16,27.5,1,43,33,479,1,1,0,0,1,0,0.0,Bronze
ACC-00102,22,3,9388.07,3129.3566666666666,4159.93,983.0626548869271,6.666666666666667,2.0,0.0,2,0.0,0.0,9388.07,9388.07,9388.07,9,34,0.41,69.8,4,35,40,54,2,1,1,0,0,0,76775.02,Silver
ACC-00103,541,15,147053.62,9803.574666666666,45479.07,11802.74982569732,1.3333333333333333,1.8,0.0625,6,49596.6,97457.01999999999,0.0,-0.9999798377340839,-0.9999897391717993,12,40,0.89,85.7,0,48,45,1393,3,1,1,1,0,0,0.0,Gold
ACC-00104,1,2,3658.5299999999997,1829.2649999999999,3108.2,1808.687222393634,7.5,1.0,0.0,2,0.0,0.0,3658.5299999999997,3658.5299999999997,3658.5299999999997,5,17,0.56,41.4,3,73,29,156,1,0,1,0,0,0,14171.75,Bronze
ACC-00105,1,2,8977.92,4488.96,5661.71,1658.5189552730471,2.5,1.5,0.0,1,0.0,0.0,8977.92,8977.92,8977.92,12,27,0.38,58.6,1,91,43,191,1,0,0,1,0,0,51698.33,Bronze
ACC-00106,477,5,16605.73,3321.1459999999997,7054.27,2662.297249318716,6.0,1.8,0.16666666666666666,3,1804.43,14801.300000000001,0.0,-0.999446115329866,-0.9999324429311661,8,25,0.34,57.5,3,100,22,1214,1,1,0,0,0,1,0.0,Bronze
ACC-00107,29,2,6074.37,3037.185,5169.19,3015.1103860472504,2.5,1.0,0.0,2,0.0,0.0,6074.37,6074.37,6074.37,13,26,0.59,60.9,0,72,50,196,2,1,1,0,0,1,18664.54,Silver
ACC-00108,286,6,47489.64,7914.94,18542.41,5616.878997614244,3.3333333333333335,1.6666666666666667,0.0,5,0.0,11959.91,35529.73,35529.73,1.970570801051091,5,34,0.44,48.1,4,45,22,495,2,1,0,1,0,0,0.0,Silver
ACC-00109,81,6,13467.22,2244.5366666666664,4982.81,1710.8718647247276,1.6666666666666667,1.0,0.0,5,0.0,6455.64,7011.58,7011.58,0.08610360806859288,7,22,0.58,61.8,0,65,47,526,1,0,0,1,0,0,4758.32,Bronze
