account_external_id,Name,customer_since,region,age,preferred_channel,campaign_opt_in,loyalty_tier
ACC-00039,Customer 00039,12/16/2023,SK,68,Web,TRUE,Bronze
ACC-00040,Customer 00040,11/28/2023,CZ,26,Store,TRUE,Silver
ACC-00041,Customer 00041,6/6/2023,CZ,31,Store,FALSE,Silver
ACC-00042,Customer 00042,6/20/2023,CZ,18,Email,TRUE,Bronze
ACC-00043,Customer 00043,9/18/2023,SK,45,Email,TRUE,Silver
ACC-00044,Customer 00044,9/20/2022,CZ,23,Mobile App,TRUE,Silver
ACC-00045,Customer 00045,8/21/2023,CZ,53,Web,FALSE,Bronze
ACC-00046,Customer 00046,5/30/2021,CZ,25,Email,FALSE,Bronze
ACC-00047,Customer 00047,8/22/2023,CZ,28,Email,FALSE,Bronze
ACC-00048,Customer 00048,4/22/2022,CZ,37,Web,TRUE,Silver
ACC-00049,Customer 00049,4/8/2024,SK,18,Mobile App,TRUE,Silver
ACC-00050,Customer 00050,3/19/2021,SK,47,Store,FALSE,Bronze
ACC-00051,Customer 00051,2/1/2021,SK,19,Store,TRUE,Silver
ACC-00052,Customer 00052,4/28/2022,CZ,49,Store,TRUE,Silver
ACC-00053,Customer 00053,2/19/2024,SK,24,Store,FALSE,Silver
ACC-00054,Customer 00054,6/3/2024,CZ,18,Email,TRUE,Silver
ACC-00055,Customer 00055,10/31/2024,CZ,36,Web,FALSE,Bronze
ACC-00056,Customer 00056,6/24/2021,SK,41,Store,TRUE,Silver
ACC-00057,Customer 00057,10/11/2023,SK,31,Store,TRUE,Silver
ACC-00058,Customer 00058,3/12/2022,CZ,47,Web,TRUE,Bronze
ACC-00059,Customer 00059,11/21/2023,SK,43,Web,TRUE,Bronze
ACC-00060,Customer 00060,8/7/2021,CZ,40,Email,TRUE,Bronze
ACC-00061,Customer 00061,11/7/2021,CZ,37,Email,FALSE,Bronze
ACC-00062,Customer 00062,7/22/2021,SK,31,Email,FALSE,Silver
ACC-00063,Customer 00063,6/22/2023,SK,35,Email,TRUE,Bronze
ACC-00064,Customer 00064,2/27/2022,SK,27,Store,FALSE,Silver
ACC-00065,Customer 00065,4/29/2022,CZ,33,Email,TRUE,Silver
ACC-00066,Customer 00066,6/24/2024,CZ,37,Email,TRUE,Bronze
ACC-00067,Customer 00067,3/29/2021,CZ,32,Email,TRUE,Silver
ACC-00068,Customer 00068,11/29/2022,CZ,37,Web,TRUE,Silver
ACC-00069,Customer 00069,5/27/2024,CZ,44,Store,FALSE,Silver
ACC-00070,Customer 00070,1/2/2021,SK,54,Web,TRUE,Bronze
ACC-00071,Customer 00071,4/13/2024,CZ,47,Store,TRUE,Gold
ACC-00072,Customer 00072,8/11/2023,CZ,45,Mobile App,TRUE,Bronze
ACC-00073,Customer 00073,12/12/2024,CZ,45,Web,TRUE,Silver
ACC-00074,Customer 00074,7/3/2024,CZ,45,Web,TRUE,Bronze
ACC-00075,Customer 00075,8/22/2023,CZ,43,Mobile App,TRUE,Gold
ACC-00076,Customer 00076,3/6/2022,SK,33,Email,TRUE,Silver
ACC-00077,Customer 00077,2/11/2023,SK,63,Web,TRUE,Silver
ACC-00078,Customer 00078,7/28/2021,CZ,60,Mobile App,TRUE,Silver
ACC-00079,Customer 00079,5/12/2021,CZ,25,Store,FALSE,Gold
ACC-00080,Customer 00080,6/13/2024,CZ,27,Web,TRUE,Bronze
ACC-00081,Customer 00081,8/22/2022,CZ,40,Store,TRUE,Silver
ACC-00082,Customer 00082,10/24/2022,CZ,37,Email,TRUE,Gold
ACC-00083,Customer 00083,4/27/2023,SK,33,Mobile App,TRUE,Silver
ACC-00084,Customer 00084,2/8/2021,CZ,39,Web,TRUE,Bronze
ACC-00085,Customer 00085,11/28/2021,SK,53,Web,TRUE,Silver
ACC-00086,Customer 00086,12/31/2023,CZ,65,Email,TRUE,Silver
ACC-00087,Customer 00087,3/27/2021,CZ,66,Store,FALSE,Bronze
ACC-00088,Customer 00088,8/1/2021,CZ,53,Email,FALSE,Bronze
ACC-00089,Customer 00089,3/27/2021,CZ,23,Email,FALSE,Bronze
ACC-00090,Customer 00090,3/10/2023,CZ,47,Web,FALSE,Bronze
ACC-00091,Customer 00091,12/5/2022,CZ,25,Web,FALSE,Bronze
ACC-00092,Customer 00092,11/25/2022,CZ,30,Web,TRUE,Gold
ACC-00093,Customer 00093,3/28/2024,CZ,45,Mobile App,FALSE,Silver
ACC-00094,Customer 00094,8/28/2021,CZ,36,Web,TRUE,Bronze
ACC-00095,Customer 00095,7/24/2022,CZ,35,Email,TRUE,Silver
ACC-00096,Customer 00096,10/11/2024,CZ,42,Web,TRUE,Bronze
ACC-00097,Customer 00097,11/10/2022,SK,44,Mobile App,TRUE,Gold
ACC-00098,Customer 00098,7/29/2021,SK,49,Store,TRUE,Bronze
ACC-00099,Customer 00099,5/2/2023,CZ,29,Store,TRUE,Bronze
ACC-00100,Customer 00100,9/14/2021,CZ,20,Mobile App,TRUE,Silver
ACC-00101,Customer 00101,9/9/2023,CZ,33,Store,FALSE,Bronze
ACC-00102,Customer 00102,11/7/2024,CZ,40,Email,TRUE,Silver
ACC-00103,Customer 00103,3/9/2021,CZ,45,Mobile App,TRUE,Gold
ACC-00104,Customer 00104,7/28/2024,SK,29,Email,TRUE,Bronze
ACC-00105,Customer 00105,6/23/2024,SK,43,Mobile App,FALSE,Bronze
ACC-00106,Customer 00106,9/4/2021,CZ,22,Web,FALSE,Bronze
ACC-00107,Customer 00107,6/18/2024,CZ,50,Web,TRUE,Silver
ACC-00108,Customer 00108,8/24/2023,CZ,22,Mobile App,FALSE,Silver
ACC-00109,Customer 00109,7/24/2023,SK,47,Mobile App,FALSE,Bronze
ACC-00110,Customer 00110,4/14/2024,SK,18,Mobile App,FALSE,Bronze
ACC-00111,Customer 00111,7/15/2023,CZ,33,Email,FALSE,Silver
ACC-00112,Customer 00112,9/19/2023,CZ,24,Web,TRUE,Silver
ACC-00113,Customer 00113,1/23/2024,SK,52,Email,TRUE,Silver
ACC-00114,Customer 00114,3/12/2023,SK,30,Email,TRUE,Bronze
ACC-00115,Customer 00115,5/14/2022,SK,23,Mobile App,TRUE,Bronze
ACC-00116,Customer 00116,2/27/2024,CZ,43,Web,TRUE,Silver
ACC-00117,Customer 00117,9/16/2021,CZ,33,Mobile App,FALSE,Silver
ACC-00118,Customer 00118,7/28/2022,CZ,54,Mobile App,TRUE,Silver
ACC-00119,Customer 00119,5/7/2022,CZ,29,Email,TRUE,Silver
ACC-00120,Customer 00120,1/23/2021,CZ,51,Store,TRUE,Bronze
ACC-00121,Customer 00121,3/22/2022,SK,33,Store,TRUE,Bronze
ACC-00122,Customer 00122,10/12/2024,CZ,54,Mobile App,TRUE,Bronze
ACC-00123,Customer 00123,2/8/2022,CZ,36,Web,TRUE,Bronze
ACC-00124,Customer 00124,12/19/2021,SK,33,Email,TRUE,Silver
ACC-00125,Customer 00125,11/28/2022,CZ,25,Email,FALSE,Bronze
ACC-00126,Customer 00126,1/16/2021,SK,18,Store,FALSE,Silver
ACC-00127,Customer 00127,10/17/2022,CZ,25,Web,TRUE,Silver
ACC-00128,Customer 00128,8/27/2021,CZ,33,Web,FALSE,Silver
ACC-00129,Customer 00129,2/11/2023,SK,18,Web,FALSE,Silver
ACC-00130,Customer 00130,8/16/2023,SK,46,Email,FALSE,Bronze
ACC-00131,Customer 00131,10/31/2021,CZ,26,Web,FALSE,Silver
ACC-00132,Customer 00132,12/11/2023,CZ,67,Mobile App,TRUE,Bronze
ACC-00133,Customer 00133,6/13/2022,SK,20,Email,TRUE,Bronze
ACC-00134,Customer 00134,10/16/2021,CZ,51,Store,FALSE,Silver
ACC-00135,Customer 00135,4/15/2022,CZ,34,Mobile App,FALSE,Silver
ACC-00136,Customer 00136,10/11/2022,CZ,43,Web,FALSE,Silver
ACC-00137,Customer 00137,4/12/2022,CZ,38,Email,FALSE,Bronze
ACC-00138,Customer 00138,3/5/2022,CZ,48,Web,FALSE,Bronze
ACC-00139,Customer 00139,8/10/2024,SK,23,Store,TRUE,Gold
ACC-00140,Customer 00140,12/2/2022,SK,51,Mobile App,TRUE,Bronze
ACC-00141,Customer 00141,3/11/2022,SK,47,Email,TRUE,Gold
ACC-00142,Customer 00142,11/21/2022,CZ,22,Email,FALSE,Silver
ACC-00143,Customer 00143,10/16/2023,CZ,32,Email,TRUE,Gold
ACC-00144,Customer 00144,3/8/2021,SK,43,Mobile App,FALSE,Bronze
ACC-00145,Customer 00145,5/26/2023,CZ,24,Store,FALSE,Silver
ACC-00146,Customer 00146,6/27/2024,SK,46,Store,TRUE,Silver
ACC-00147,Customer 00147,9/17/2024,CZ,40,Store,FALSE,Silver
ACC-00148,Customer 00148,3/28/2023,CZ,21,Web,TRUE,Gold
ACC-00149,Customer 00149,8/17/2022,CZ,46,Store,TRUE,Silver
ACC-00150,Customer 00150,10/7/2023,CZ,34,Web,FALSE,Silver
ACC-00151,Customer 00151,12/24/2021,CZ,29,Web,FALSE,Bronze
ACC-00152,Customer 00152,2/10/2021,CZ,36,Mobile App,FALSE,Silver
ACC-00153,Customer 00153,12/24/2024,CZ,28,Mobile App,TRUE,Bronze
ACC-00154,Customer 00154,5/21/2022,CZ,30,Web,TRUE,Silver
ACC-00155,Customer 00155,8/16/2021,SK,42,Store,TRUE,Bronze
ACC-00156,Customer 00156,10/26/2023,CZ,57,Email,FALSE,Bronze
ACC-00157,Customer 00157,3/27/2023,CZ,38,Web,TRUE,Silver
ACC-00158,Customer 00158,8/11/2021,SK,41,Mobile App,TRUE,Gold
ACC-00159,Customer 00159,10/11/2022,CZ,40,Web,TRUE,Bronze
ACC-00160,Customer 00160,7/20/2023,SK,22,Email,TRUE,Silver
ACC-00161,Customer 00161,3/4/2024,CZ,34,Store,FALSE,Bronze
ACC-00162,Customer 00162,5/6/2024,CZ,35,Store,TRUE,Gold
ACC-00163,Customer 00163,2/5/2023,SK,37,Web,TRUE,Bronze
ACC-00164,Customer 00164,11/24/2022,CZ,33,Store,FALSE,Silver
ACC-00165,Customer 00165,3/6/2021,CZ,32,Email,TRUE,Bronze
ACC-00166,Customer 00166,4/23/2022,CZ,34,Web,FALSE,Silver
ACC-00167,Customer 00167,5/6/2024,CZ,38,Store,FALSE,Bronze
ACC-00168,Customer 00168,5/4/2021,SK,28,Email,TRUE,Bronze
ACC-00169,Customer 00169,2/26/2021,CZ,20,Web,TRUE,Bronze
ACC-00170,Customer 00170,6/10/2021,SK,42,Email,TRUE,Gold
ACC-00171,Customer 00171,7/25/2021,CZ,19,Email,TRUE,Silver
ACC-00172,Customer 00172,7/9/2023,CZ,26,Web,TRUE,Silver
ACC-00173,Customer 00173,2/17/2021,CZ,39,Email,TRUE,Bronze
ACC-00174,Customer 00174,2/7/2024,CZ,29,Web,TRUE,Bronze
ACC-00175,Customer 00175,4/8/2022,CZ,31,Email,FALSE,Silver
ACC-00176,Customer 00176,11/20/2022,CZ,41,Mobile App,FALSE,Silver
ACC-00177,Customer 00177,8/8/2024,SK,43,Store,FALSE,Bronze
ACC-00178,Customer 00178,7/26/2023,CZ,36,Mobile App,TRUE,Gold
ACC-00179,Customer 00179,12/28/2022,CZ,40,Mobile App,FALSE,Gold
ACC-00180,Customer 00180,2/15/2021,CZ,31,Web,FALSE,Silver
ACC-00181,Customer 00181,12/22/2021,CZ,31,Email,TRUE,Gold
ACC-00182,Customer 00182,12/17/2023,CZ,22,Store,TRUE,Silver
ACC-00183,Customer 00183,3/16/2021,SK,39,Web,FALSE,Silver
ACC-00184,Customer 00184,4/1/2024,SK,28,Email,TRUE,Bronze
ACC-00185,Customer 00185,11/14/2023,SK,31,Store,FALSE,Bronze
ACC-00186,Customer 00186,8/18/2022,CZ,28,Email,TRUE,Bronze
ACC-00187,Customer 00187,1/25/2024,SK,27,Web,TRUE,Gold
ACC-00188,Customer 00188,11/9/2023,CZ,38,Mobile App,FALSE,Silver
ACC-00189,Customer 00189,11/11/2023,CZ,38,Store,TRUE,Silver
ACC-00190,Customer 00190,11/15/2023,SK,25,Email,FALSE,Silver
ACC-00191,Customer 00191,7/24/2023,SK,37,Store,TRUE,Bronze
ACC-00192,Customer 00192,12/19/2024,CZ,32,Email,FALSE,Bronze
ACC-00193,Customer 00193,9/7/2022,SK,55,Store,TRUE,Silver
ACC-00194,Customer 00194,3/23/2023,SK,18,Email,FALSE,Bronze
ACC-00195,Customer 00195,3/24/2021,CZ,51,Web,FALSE,Gold
ACC-00196,Customer 00196,7/17/2021,CZ,35,Store,TRUE,Silver
ACC-00197,Customer 00197,5/17/2024,CZ,26,Web,TRUE,Bronze
ACC-00198,Customer 00198,4/2/2021,CZ,36,Store,FALSE,Silver
ACC-00199,Customer 00199,7/23/2024,CZ,36,Web,TRUE,Gold
ACC-00200,Customer 00200,7/4/2021,CZ,32,Mobile App,FALSE,Silver
ACC-00201,Customer 00201,11/3/2022,SK,29,Web,FALSE,Bronze
ACC-00202,Customer 00202,4/30/2023,SK,39,Web,FALSE,Silver
ACC-00203,Customer 00203,12/26/2023,SK,25,Store,TRUE,Bronze
ACC-00204,Customer 00204,1/3/2022,CZ,35,Store,TRUE,Bronze
ACC-00205,Customer 00205,6/24/2023,CZ,42,Web,FALSE,Bronze
ACC-00206,Customer 00206,6/27/2021,CZ,25,Store,TRUE,Bronze
ACC-00207,Customer 00207,8/20/2024,CZ,31,Mobile App,TRUE,Bronze
ACC-00208,Customer 00208,9/25/2023,CZ,30,Mobile App,FALSE,Bronze
ACC-00209,Customer 00209,6/3/2022,CZ,25,Email,FALSE,Bronze
ACC-00210,Customer 00210,11/19/2024,CZ,31,Web,FALSE,Bronze
ACC-00211,Customer 00211,11/11/2023,CZ,43,Email,TRUE,Silver
ACC-00212,Customer 00212,9/1/2024,CZ,30,Web,TRUE,Silver
ACC-00213,Customer 00213,9/14/2022,SK,42,Web,FALSE,Bronze
ACC-00214,Customer 00214,3/23/2024,CZ,33,Web,FALSE,Bronze
ACC-00215,Customer 00215,6/7/2024,CZ,27,Email,TRUE,Silver
ACC-00216,Customer 00216,5/21/2023,CZ,20,Web,TRUE,Bronze
ACC-00217,Customer 00217,9/30/2021,CZ,44,Store,TRUE,Bronze
ACC-00218,Customer 00218,6/11/2023,SK,40,Mobile App,TRUE,Bronze
ACC-00219,Customer 00219,5/22/2022,CZ,44,Email,FALSE,Bronze
ACC-00220,Customer 00220,2/6/2024,CZ,29,Email,FALSE,Bronze
ACC-00221,Customer 00221,6/14/2021,SK,30,Mobile App,TRUE,Bronze
ACC-00222,Customer 00222,8/25/2024,SK,18,Web,FALSE,Bronze
ACC-00223,Customer 00223,10/26/2024,SK,45,Mobile App,TRUE,Gold
ACC-00224,Customer 00224,2/16/2022,CZ,43,Web,FALSE,Silver
ACC-00225,Customer 00225,8/11/2023,CZ,46,Email,FALSE,Bronze
ACC-00226,Customer 00226,4/5/2021,CZ,52,Mobile App,TRUE,Bronze
ACC-00227,Customer 00227,12/3/2023,SK,28,Mobile App,FALSE,Silver
ACC-00228,Customer 00228,3/28/2023,CZ,30,Store,TRUE,Bronze
ACC-00229,Customer 00229,10/31/2021,SK,42,Mobile App,TRUE,Gold
ACC-00230,Customer 00230,3/31/2021,CZ,18,Web,TRUE,Silver
ACC-00231,Customer 00231,8/4/2023,CZ,27,Email,TRUE,Gold
ACC-00232,Customer 00232,3/18/2022,SK,41,Mobile App,TRUE,Gold
ACC-00233,Customer 00233,11/13/2024,CZ,22,Web,TRUE,Bronze
ACC-00234,Customer 00234,2/11/2022,SK,37,Mobile App,TRUE,Gold
ACC-00235,Customer 00235,11/23/2023,CZ,40,Web,FALSE,Bronze
ACC-00236,Customer 00236,1/4/2024,CZ,39,Store,TRUE,Silver
ACC-00237,Customer 00237,10/20/2021,SK,26,Web,FALSE,Gold
ACC-00238,Customer 00238,4/27/2022,CZ,40,Store,FALSE,Bronze
ACC-00239,Customer 00239,10/14/2021,SK,49,Store,TRUE,Silver
ACC-00240,Customer 00240,12/21/2021,CZ,41,Email,FALSE,Bronze
ACC-00241,Customer 00241,10/21/2021,CZ,38,Mobile App,FALSE,Bronze
ACC-00242,Customer 00242,11/5/2021,SK,29,Web,FALSE,Silver
ACC-00243,Customer 00243,3/2/2024,CZ,26,Store,TRUE,Bronze
ACC-00244,Customer 00244,2/20/2023,CZ,31,Email,FALSE,Bronze
ACC-00245,Customer 00245,12/13/2024,SK,61,Mobile App,TRUE,Bronze
ACC-00246,Customer 00246,6/3/2021,CZ,34,Web,FALSE,Gold
ACC-00247,Customer 00247,11/12/2023,CZ,50,Store,TRUE,Silver
ACC-00248,Customer 00248,5/1/2023,CZ,31,Store,FALSE,Silver
ACC-00249,Customer 00249,4/21/2024,CZ,32,Mobile App,TRUE,Silver
ACC-00250,Customer 00250,10/19/2021,CZ,51,Mobile App,TRUE,Bronze
ACC-00251,Customer 00251,7/11/2021,SK,32,Store,FALSE,Bronze
ACC-00252,Customer 00252,9/27/2021,CZ,18,Store,FALSE,Bronze
ACC-00253,Customer 00253,11/10/2022,CZ,25,Mobile App,TRUE,Gold
ACC-00254,Customer 00254,3/18/2023,CZ,36,Email,TRUE,Silver
ACC-00255,Customer 00255,9/5/2021,CZ,18,Mobile App,TRUE,Gold
ACC-00256,Customer 00256,2/14/2024,CZ,36,Email,FALSE,Silver
ACC-00257,Customer 00257,9/19/2022,SK,47,Mobile App,TRUE,Bronze
ACC-00258,Customer 00258,3/6/2022,CZ,44,Store,FALSE,Silver
ACC-00259,Customer 00259,3/5/2024,CZ,40,Mobile App,TRUE,Silver
ACC-00260,Customer 00260,3/1/2022,SK,34,Email,TRUE,Gold
ACC-00261,Customer 00261,5/6/2024,CZ,27,Store,FALSE,Bronze
ACC-00262,Customer 00262,7/31/2022,CZ,50,Email,TRUE,Gold
ACC-00263,Customer 00263,7/29/2021,SK,38,Mobile App,TRUE,Silver
ACC-00264,Customer 00264,9/8/2024,CZ,26,Web,TRUE,Silver
ACC-00265,Customer 00265,5/6/2023,CZ,26,Email,FALSE,Gold
ACC-00266,Customer 00266,5/17/2023,CZ,59,Email,FALSE,Gold
ACC-00267,Customer 00267,6/25/2021,CZ,29,Store,FALSE,Bronze
ACC-00268,Customer 00268,3/18/2022,CZ,25,Mobile App,FALSE,Bronze
ACC-00269,Customer 00269,10/3/2023,SK,38,Mobile App,TRUE,Silver
ACC-00270,Customer 00270,7/31/2021,CZ,28,Store,FALSE,Silver
ACC-00271,Customer 00271,4/10/2023,CZ,20,Store,FALSE,Bronze
ACC-00272,Customer 00272,7/9/2022,CZ,47,Mobile App,FALSE,Gold
ACC-00273,Customer 00273,7/23/2022,CZ,43,Web,TRUE,Gold
ACC-00274,Customer 00274,7/18/2024,CZ,39,Email,FALSE,Bronze
ACC-00275,Customer 00275,9/20/2023,CZ,37,Email,TRUE,Silver
ACC-00276,Customer 00276,8/17/2024,CZ,33,Web,TRUE,Bronze
ACC-00277,Customer 00277,12/19/2022,CZ,47,Email,TRUE,Gold
ACC-00278,Customer 00278,7/23/2024,CZ,48,Web,FALSE,Silver
ACC-00279,Customer 00279,5/1/2023,CZ,38,Mobile App,TRUE,Bronze
ACC-00280,Customer 00280,6/8/2024,SK,43,Web,FALSE,Gold
ACC-00281,Customer 00281,1/25/2021,CZ,18,Web,TRUE,Bronze
ACC-00282,Customer 00282,4/5/2024,SK,31,Web,TRUE,Gold
ACC-00283,Customer 00283,7/26/2023,CZ,38,Store,TRUE,Bronze
ACC-00284,Customer 00284,12/4/2022,CZ,21,Email,FALSE,Gold
ACC-00285,Customer 00285,2/28/2021,SK,35,Web,FALSE,Gold
ACC-00286,Customer 00286,8/28/2021,SK,40,Web,TRUE,Gold
ACC-00287,Customer 00287,9/20/2023,CZ,48,Email,FALSE,Gold
ACC-00288,Customer 00288,11/23/2021,CZ,29,Email,TRUE,Silver
ACC-00289,Customer 00289,5/13/2024,CZ,40,Mobile App,FALSE,Bronze
ACC-00290,Customer 00290,10/25/2021,CZ,33,Store,TRUE,Bronze
ACC-00291,Customer 00291,3/31/2021,CZ,46,Mobile App,TRUE,Silver
ACC-00292,Customer 00292,7/11/2021,SK,33,Email,TRUE,Silver
ACC-00293,Customer 00293,8/22/2022,CZ,21,Web,FALSE,Bronze
ACC-00294,Customer 00294,6/21/2024,CZ,28,Web,FALSE,Silver
ACC-00295,Customer 00295,2/10/2024,CZ,39,Email,FALSE,Bronze
ACC-00296,Customer 00296,2/3/2024,CZ,26,Web,TRUE,Bronze
ACC-00297,Customer 00297,7/9/2021,CZ,34,Web,TRUE,Silver
ACC-00298,Customer 00298,1/29/2022,CZ,36,Email,TRUE,Silver
ACC-00299,Customer 00299,10/25/2023,SK,38,Email,TRUE,Silver
ACC-00300,Customer 00300,10/10/2024,CZ,39,Email,TRUE,Silver
ACC-00301,Customer 00301,2/8/2022,CZ,33,Web,TRUE,Silver
ACC-00302,Customer 00302,12/17/2023,SK,18,Web,FALSE,Bronze
ACC-00303,Customer 00303,12/13/2021,CZ,40,Email,FALSE,Gold
ACC-00304,Customer 00304,1/9/2023,CZ,39,Email,FALSE,Silver
ACC-00305,Customer 00305,2/27/2021,CZ,44,Email,TRUE,Bronze
ACC-00306,Customer 00306,11/14/2022,CZ,25,Mobile App,TRUE,Silver
ACC-00307,Customer 00307,5/30/2021,CZ,33,Web,TRUE,Bronze
ACC-00308,Customer 00308,3/19/2022,SK,40,Mobile App,FALSE,Gold
ACC-00309,Customer 00309,2/5/2024,CZ,37,Email,TRUE,Silver
ACC-00310,Customer 00310,3/18/2021,SK,65,Store,TRUE,Silver
ACC-00311,Customer 00311,11/15/2023,CZ,35,Web,TRUE,Silver
ACC-00312,Customer 00312,9/26/2021,CZ,36,Email,FALSE,Silver
ACC-00313,Customer 00313,11/17/2022,CZ,48,Web,FALSE,Bronze
ACC-00314,Customer 00314,5/27/2021,CZ,29,Email,FALSE,Silver
ACC-00315,Customer 00315,9/11/2021,CZ,33,Email,TRUE,Silver
ACC-00316,Customer 00316,7/13/2021,SK,34,Mobile App,TRUE,Silver
ACC-00317,Customer 00317,9/20/2024,CZ,43,Email,FALSE,Silver
ACC-00318,Customer 00318,4/29/2021,CZ,32,Store,FALSE,Bronze
ACC-00319,Customer 00319,3/11/2021,CZ,18,Email,FALSE,Silver
ACC-00320,Customer 00320,11/4/2023,CZ,23,Store,FALSE,Bronze
ACC-00321,Customer 00321,1/7/2023,CZ,27,Mobile App,FALSE,Bronze
ACC-00322,Customer 00322,11/29/2022,CZ,43,Web,TRUE,Silver
ACC-00323,Customer 00323,2/16/2022,CZ,41,Web,TRUE,Silver
ACC-00324,Customer 00324,11/16/2024,CZ,18,Email,TRUE,Bronze
ACC-00325,Customer 00325,1/27/2022,CZ,49,Web,TRUE,Gold
ACC-00326,Customer 00326,5/6/2021,CZ,35,Email,TRUE,Gold
ACC-00327,Customer 00327,6/23/2024,CZ,40,Email,FALSE,Silver
ACC-00328,Customer 00328,9/30/2024,CZ,22,Mobile App,TRUE,Silver
ACC-00329,Customer 00329,1/9/2021,CZ,31,Email,TRUE,Silver
ACC-00330,Customer 00330,4/4/2022,CZ,33,Store,FALSE,Bronze
ACC-00331,Customer 00331,3/11/2024,CZ,29,Mobile App,TRUE,Silver
ACC-00332,Customer 00332,10/11/2021,CZ,32,Web,FALSE,Bronze
ACC-00333,Customer 00333,6/21/2024,CZ,19,Store,FALSE,Bronze
ACC-00334,Customer 00334,4/2/2023,CZ,22,Web,FALSE,Bronze
ACC-00335,Customer 00335,2/27/2024,SK,28,Web,FALSE,Gold
ACC-00336,Customer 00336,7/10/2023,CZ,38,Mobile App,TRUE,Gold
ACC-00337,Customer 00337,1/21/2024,CZ,40,Email,TRUE,Bronze
ACC-00338,Customer 00338,5/26/2024,SK,28,Store,FALSE,Bronze
ACC-00339,Customer 00339,4/18/2024,CZ,26,Email,FALSE,Gold
ACC-00340,Customer 00340,11/6/2024,CZ,43,Web,FALSE,Bronze
ACC-00341,Customer 00341,6/30/2023,SK,22,Mobile App,TRUE,Silver
ACC-00342,Customer 00342,1/6/2021,CZ,29,Web,TRUE,Silver
ACC-00343,Customer 00343,9/29/2024,CZ,45,Email,FALSE,Bronze
ACC-00344,Customer 00344,9/26/2023,CZ,18,Store,TRUE,Bronze
ACC-00345,Customer 00345,5/23/2021,CZ,41,Web,TRUE,Bronze
ACC-00346,Customer 00346,12/16/2021,CZ,33,Web,TRUE,Silver
ACC-00347,Customer 00347,9/29/2022,CZ,25,Mobile App,TRUE,Bronze
ACC-00348,Customer 00348,11/11/2024,CZ,19,Web,FALSE,Gold
ACC-00349,Customer 00349,12/3/2024,CZ,34,Web,FALSE,Silver
