order_external_id,account_external_id,order_date,product_external_id,quantity,unit_price,discount_used,discount_pct,order_value,product_category,sales_channel,order_status
ORD-000035,ACC-00005,2025-11-14,PROD-0062,1,1269.98,True,10,1142.98,Kids,Mobile App,Completed
ORD-000036,ACC-00006,2022-01-12,PROD-0039,1,1269.63,True,15,1079.19,Sports,Web,Returned
ORD-000037,ACC-00006,2022-01-24,PROD-0008,1,5193.73,True,15,4414.67,Electronics,Web,Completed
ORD-000038,ACC-00006,2022-03-26,PROD-0019,1,5425.35,False,0,5425.35,Home,Web,Completed
ORD-000039,ACC-00006,2022-05-03,PROD-0069,1,3478.04,True,10,3130.24,Kids,Web,Completed
ORD-000040,ACC-00006,2022-06-04,PROD-0029,1,545.56,False,0,545.56,Fashion,Web,Completed
ORD-000041,ACC-00006,2022-07-12,PROD-0015,1,6228.05,False,0,6228.05,Home,Web,Completed
ORD-000042,ACC-00006,2022-10-29,PROD-0019,1,6423.27,True,15,5459.78,Home,Web,Completed
ORD-000043,ACC-00007,2022-08-24,PROD-0057,1,1224.39,True,5,1163.17,Beauty,Store,Completed
ORD-000044,ACC-00007,2022-11-10,PROD-0053,2,1773.53,True,15,3015.0,Beauty,Store,Completed
ORD-000045,ACC-00007,2023-03-06,PROD-0036,1,2237.3,True,10,2013.57,Fashion,Store,Completed
ORD-000046,ACC-00008,2022-02-05,PROD-0043,1,5304.46,False,0,5304.46,Sports,Email,Completed
ORD-000047,ACC-00008,2022-05-14,PROD-0030,1,1799.72,True,5,1709.73,Fashion,Email,Completed
ORD-000048,ACC-00008,2022-12-06,PROD-0035,2,2567.04,False,0,5134.08,Fashion,Email,Completed
ORD-000049,ACC-00009,2025-02-11,PROD-0019,2,5680.29,False,0,11360.58,Home,Web,Completed
ORD-000050,ACC-00009,2025-04-19,PROD-0004,1,10815.77,True,5,10274.98,Electronics,Web,Completed
ORD-000051,ACC-00009,2025-10-09,PROD-0027,2,2269.64,False,0,4539.28,Fashion,Web,Completed
ORD-000052,ACC-00009,2025-11-02,PROD-0026,1,1719.19,False,0,1719.19,Fashion,Web,Completed
ORD-000053,ACC-00009,2025-11-27,PROD-0003,1,16311.38,True,15,13864.67,Electronics,Web,Completed
ORD-000054,ACC-00009,2025-12-19,PROD-0063,1,4147.89,False,0,4147.89,Kids,Web,Completed
ORD-000055,ACC-00010,2023-01-06,PROD-0052,2,2047.57,True,15,3480.87,Beauty,Email,Returned
ORD-000056,ACC-00010,2024-07-10,PROD-0035,1,2308.0,True,15,1961.8,Fashion,Email,Returned
ORD-000057,ACC-00010,2025-02-22,PROD-0040,1,2314.57,True,5,2198.84,Sports,Email,Completed
ORD-000058,ACC-00011,2022-10-05,PROD-0025,1,741.53,False,0,741.53,Fashion,Email,Completed
ORD-000059,ACC-00011,2022-10-17,PROD-0032,2,411.8,True,5,782.42,Fashion,Email,Completed
ORD-000060,ACC-00011,2023-01-23,PROD-0034,1,3684.48,False,0,3684.48,Fashion,Email,Completed
ORD-000061,ACC-00011,2023-02-08,PROD-0039,3,1315.6,True,5,3749.46,Sports,Email,Completed
ORD-000062,ACC-00011,2023-03-27,PROD-0041,1,1577.92,False,0,1577.92,Sports,Email,Completed
ORD-000063,ACC-00011,2023-07-09,PROD-0017,1,2750.76,False,0,2750.76,Home,Email,Completed
ORD-000064,ACC-00012,2022-07-20,PROD-0037,2,2693.95,False,0,5387.9,Sports,Mobile App,Completed
ORD-000065,ACC-00012,2022-07-27,PROD-0003,3,23707.5,False,0,71122.5,Electronics,Mobile App,Completed
ORD-000066,ACC-00012,2022-08-03,PROD-0031,1,4096.1,True,10,3686.49,Fashion,Mobile App,Completed
ORD-000067,ACC-00012,2022-08-10,PROD-0009,1,5342.83,True,5,5075.69,Electronics,Mobile App,Completed
ORD-000068,ACC-00012,2022-09-19,PROD-0018,1,3111.72,False,0,3111.72,Home,Mobile App,Completed
ORD-000069,ACC-00012,2022-12-31,PROD-0022,3,5863.43,False,0,17590.29,Home,Mobile App,Completed
ORD-000070,ACC-00012,2023-01-26,PROD-0070,1,3594.33,False,0,3594.33,Kids,Mobile App,Completed
ORD-000071,ACC-00012,2023-04-15,PROD-0066,1,1211.07,False,0,1211.07,Kids,Mobile App,Completed
ORD-000072,ACC-00012,2023-04-22,PROD-0063,2,4479.06,True,10,8062.31,Kids,Mobile App,Completed
ORD-000073,ACC-00012,2023-05-18,PROD-0036,1,3710.41,True,5,3524.89,Fashion,Mobile App,Completed
ORD-000074,ACC-00012,2023-07-08,PROD-0021,3,3858.46,True,20,9260.3,Home,Mobile App,Completed
ORD-000075,ACC-00012,2023-07-15,PROD-0022,1,7212.32,False,0,7212.32,Home,Mobile App,Completed
ORD-000076,ACC-00012,2023-09-02,PROD-0071,2,2769.48,False,0,5538.96,Kids,Mobile App,Completed
ORD-000077,ACC-00012,2024-03-04,PROD-0011,2,15277.52,False,0,30555.04,Electronics,Mobile App,Completed
ORD-000078,ACC-00012,2024-03-11,PROD-0060,1,1691.87,False,0,1691.87,Beauty,Mobile App,Completed
ORD-000079,ACC-00012,2024-05-27,PROD-0049,1,2241.75,False,0,2241.75,Beauty,Mobile App,Completed
ORD-000080,ACC-00012,2024-06-23,PROD-0020,1,4734.88,False,0,4734.88,Home,Mobile App,Completed
ORD-000081,ACC-00012,2024-07-10,PROD-0011,1,11698.14,False,0,11698.14,Electronics,Mobile App,Completed
ORD-000082,ACC-00012,2024-10-23,PROD-0021,1,4893.92,False,0,4893.92,Home,Mobile App,Completed
ORD-000083,ACC-00012,2025-02-13,PROD-0031,1,4252.42,True,5,4039.8,Fashion,Mobile App,Completed
ORD-000084,ACC-00012,2025-04-29,PROD-0007,2,8362.67,False,0,16725.34,Electronics,Mobile App,Completed
ORD-000085,ACC-00012,2025-06-21,PROD-0019,1,6554.37,False,0,6554.37,Home,Mobile App,Completed
ORD-000086,ACC-00012,2025-07-28,PROD-0007,1,10296.61,True,10,9266.95,Electronics,Mobile App,Completed
ORD-000087,ACC-00012,2025-10-01,PROD-0050,1,577.15,False,0,577.15,Beauty,Mobile App,Completed
ORD-000088,ACC-00012,2025-11-09,PROD-0068,3,2711.03,False,0,8133.09,Kids,Mobile App,Completed
ORD-000089,ACC-00012,2025-11-27,PROD-0071,1,3783.7,False,0,3783.7,Kids,Mobile App,Completed
ORD-000090,ACC-00012,2025-12-23,PROD-0043,1,6934.06,True,5,6587.36,Sports,Mobile App,Completed
ORD-000091,ACC-00013,2023-04-01,PROD-0061,2,903.59,True,5,1716.82,Kids,Store,Completed
ORD-000092,ACC-00014,2023-07-13,PROD-0016,1,1737.65,False,0,1737.65,Home,Email,Completed
ORD-000093,ACC-00014,2023-12-08,PROD-0014,1,5118.51,False,0,5118.51,Home,Email,Completed
ORD-000094,ACC-00014,2024-02-14,PROD-0028,1,1582.24,False,0,1582.24,Fashion,Email,Completed
ORD-000095,ACC-00014,2024-11-07,PROD-0032,1,394.55,False,0,394.55,Fashion,Email,Completed
ORD-000096,ACC-00014,2025-01-06,PROD-0027,1,2469.05,False,0,2469.05,Fashion,Email,Completed
ORD-000097,ACC-00014,2025-01-24,PROD-0038,2,4414.98,False,0,8829.96,Sports,Email,Completed
ORD-000098,ACC-00014,2025-02-10,PROD-0054,1,1941.21,False,0,1941.21,Beauty,Email,Completed
ORD-000099,ACC-00014,2025-05-07,PROD-0058,2,2278.76,True,5,4329.64,Beauty,Email,Completed
ORD-000100,ACC-00014,2025-07-15,PROD-0001,1,2834.75,True,5,2693.01,Electronics,Email,Completed
ORD-000101,ACC-00015,2023-07-19,PROD-0026,2,1492.5,True,10,2686.5,Fashion,Web,Completed
ORD-000102,ACC-00015,2024-06-16,PROD-0037,1,2618.46,True,15,2225.69,Sports,Web,Completed
ORD-000103,ACC-00015,2024-07-11,PROD-0046,1,5117.62,True,10,4605.86,Sports,Web,Completed
ORD-000104,ACC-00015,2024-08-05,PROD-0063,1,4029.32,True,10,3626.39,Kids,Web,Completed
ORD-000105,ACC-00015,2024-09-27,PROD-0033,1,2347.97,False,0,2347.97,Fashion,Web,Completed
ORD-000106,ACC-00015,2024-10-26,PROD-0014,3,4020.83,True,15,10253.12,Home,Web,Completed
ORD-000107,ACC-00015,2024-12-29,PROD-0018,2,3345.0,True,15,5686.5,Home,Web,Completed
ORD-000108,ACC-00015,2025-04-02,PROD-0010,1,17798.04,True,5,16908.14,Electronics,Web,Completed
ORD-000109,ACC-00015,2025-04-09,PROD-0037,2,2645.05,True,10,4761.09,Sports,Web,Completed
ORD-000110,ACC-00015,2025-04-28,PROD-0050,1,452.64,False,0,452.64,Beauty,Web,Completed
ORD-000111,ACC-00016,2024-06-11,PROD-0016,2,2032.56,True,10,3658.61,Home,Mobile App,Completed
ORD-000112,ACC-00016,2024-07-01,PROD-0070,1,3290.53,False,0,3290.53,Kids,Mobile App,Completed
ORD-000113,ACC-00016,2024-07-09,PROD-0019,1,6680.44,False,0,6680.44,Home,Mobile App,Completed
ORD-000114,ACC-00016,2024-10-03,PROD-0015,1,7187.01,False,0,7187.01,Home,Mobile App,Completed
ORD-000115,ACC-00016,2025-01-04,PROD-0047,1,894.94,True,15,760.7,Sports,Mobile App,Completed
ORD-000116,ACC-00016,2025-01-15,PROD-0065,1,5324.61,True,10,4792.15,Kids,Mobile App,Completed
ORD-000117,ACC-00016,2025-02-11,PROD-0006,2,12957.14,False,0,25914.28,Electronics,Mobile App,Completed
ORD-000118,ACC-00016,2025-04-18,PROD-0070,3,3138.5,False,0,9415.5,Kids,Mobile App,Completed
ORD-000119,ACC-00016,2025-06-07,PROD-0054,1,2583.53,False,0,2583.53,Beauty,Mobile App,Completed
ORD-000120,ACC-00016,2025-07-18,PROD-0068,1,2759.75,False,0,2759.75,Kids,Mobile App,Completed
ORD-000121,ACC-00016,2025-09-13,PROD-0026,1,1688.38,False,0,1688.38,Fashion,Mobile App,Completed
ORD-000122,ACC-00017,2024-06-01,PROD-0026,2,1549.07,False,0,3098.14,Fashion,Mobile App,Completed
ORD-000123,ACC-00018,2023-01-20,PROD-0008,2,5856.84,False,0,11713.68,Electronics,Email,Completed
ORD-000124,ACC-00018,2023-04-05,PROD-0008,1,6245.01,False,0,6245.01,Electronics,Email,Completed
ORD-000125,ACC-00018,2023-11-06,PROD-0020,2,4696.93,True,15,7984.78,Home,Email,Completed
ORD-000126,ACC-00018,2023-12-17,PROD-0020,1,5041.67,True,10,4537.5,Home,Email,Completed
ORD-000127,ACC-00018,2023-12-24,PROD-0017,1,3707.26,True,15,3151.17,Home,Email,Completed
ORD-000128,ACC-00018,2024-01-04,PROD-0062,3,906.6,True,15,2311.83,Kids,Email,Completed
ORD-000129,ACC-00018,2024-02-16,PROD-0039,1,1283.0,True,10,1154.7,Sports,Email,Completed
ORD-000130,ACC-00018,2024-03-12,PROD-0038,1,5251.64,False,0,5251.64,Sports,Email,Completed
ORD-000131,ACC-00018,2024-06-23,PROD-0060,1,1576.08,True,5,1497.28,Beauty,Email,Completed
ORD-000132,ACC-00019,2022-02-14,PROD-0054,1,2590.09,True,5,2460.59,Beauty,Store,Completed
ORD-000133,ACC-00019,2022-04-25,PROD-0072,1,502.84,False,0,502.84,Kids,Store,Completed
ORD-000134,ACC-00019,2022-06-07,PROD-0053,1,1890.63,False,0,1890.63,Beauty,Store,Completed
ORD-000135,ACC-00019,2022-06-14,PROD-0068,2,2572.61,True,15,4373.44,Kids,Store,Completed
ORD-000136,ACC-00019,2022-10-05,PROD-0060,1,1780.95,False,0,1780.95,Beauty,Store,Completed
ORD-000137,ACC-00019,2022-10-12,PROD-0039,1,1675.33,False,0,1675.33,Sports,Store,Completed
ORD-000138,ACC-00019,2023-01-08,PROD-0057,2,1493.6,False,0,2987.2,Beauty,Store,Completed
ORD-000139,ACC-00019,2023-01-27,PROD-0049,1,2388.76,False,0,2388.76,Beauty,Store,Completed
ORD-000140,ACC-00019,2023-02-03,PROD-0040,1,3233.17,False,0,3233.17,Sports,Store,Completed
ORD-000141,ACC-00019,2023-04-14,PROD-0069,3,4759.05,True,15,12135.58,Kids,Store,Completed
ORD-000142,ACC-00019,2023-06-02,PROD-0030,1,2075.96,False,0,2075.96,Fashion,Store,Completed
ORD-000143,ACC-00019,2023-07-29,PROD-0027,1,2583.01,True,15,2195.56,Fashion,Store,Completed
ORD-000144,ACC-00019,2023-08-05,PROD-0036,1,3651.84,True,10,3286.66,Fashion,Store,Completed
ORD-000145,ACC-00019,2023-08-12,PROD-0009,3,5429.7,False,0,16289.1,Electronics,Store,Completed
ORD-000146,ACC-00019,2023-09-09,PROD-0001,1,3654.39,True,10,3288.95,Electronics,Store,Completed
ORD-000147,ACC-00019,2023-10-04,PROD-0057,3,1608.04,True,10,4341.71,Beauty,Store,Completed
ORD-000148,ACC-00019,2023-10-29,PROD-0017,2,3979.48,False,0,7958.96,Home,Store,Completed
ORD-000149,ACC-00019,2023-11-07,PROD-0071,1,2729.5,False,0,2729.5,Kids,Store,Completed
ORD-000150,ACC-00019,2023-12-11,PROD-0014,1,5967.51,False,0,5967.51,Home,Store,Completed
ORD-000151,ACC-00020,2023-11-15,PROD-0072,1,432.12,False,0,432.12,Kids,Web,Completed
ORD-000152,ACC-00020,2023-12-03,PROD-0017,2,3014.5,True,5,5727.55,Home,Web,Completed
ORD-000153,ACC-00020,2024-05-10,PROD-0033,1,1986.15,True,10,1787.54,Fashion,Web,Completed
ORD-000154,ACC-00020,2025-05-31,PROD-0066,2,825.62,False,0,1651.24,Kids,Web,Completed
ORD-000155,ACC-00021,2022-01-02,PROD-0015,1,4770.3,True,5,4531.78,Home,Email,Completed
ORD-000156,ACC-00021,2022-03-18,PROD-0006,1,12495.21,False,0,12495.21,Electronics,Email,Completed
ORD-000157,ACC-00021,2022-08-02,PROD-0028,1,1717.87,False,0,1717.87,Fashion,Email,Completed
ORD-000158,ACC-00021,2022-09-10,PROD-0045,1,6404.4,True,5,6084.18,Sports,Email,Completed
ORD-000159,ACC-00021,2022-12-21,PROD-0009,1,5918.94,False,0,5918.94,Electronics,Email,Completed
ORD-000160,ACC-00021,2023-07-10,PROD-0045,2,6032.4,False,0,12064.8,Sports,Email,Returned
ORD-000161,ACC-00021,2023-09-20,PROD-0018,1,3425.36,False,0,3425.36,Home,Email,Completed
ORD-000162,ACC-00021,2024-05-18,PROD-0071,1,2782.86,False,0,2782.86,Kids,Email,Completed
ORD-000163,ACC-00021,2024-06-28,PROD-0004,1,10516.74,True,5,9990.9,Electronics,Email,Completed
ORD-000164,ACC-00021,2024-07-11,PROD-0058,2,2339.94,True,10,4211.89,Beauty,Email,Returned
ORD-000165,ACC-00021,2025-01-06,PROD-0040,1,2543.86,False,0,2543.86,Sports,Email,Completed
ORD-000166,ACC-00021,2025-04-05,PROD-0052,1,2343.08,True,5,2225.93,Beauty,Email,Completed
ORD-000167,ACC-00021,2025-05-04,PROD-0007,1,8061.64,False,0,8061.64,Electronics,Email,Completed
ORD-000168,ACC-00022,2025-02-11,PROD-0060,1,1816.43,False,0,1816.43,Beauty,Email,Completed
ORD-000169,ACC-00022,2025-05-19,PROD-0052,1,2287.67,False,0,2287.67,Beauty,Email,Completed
ORD-000170,ACC-00022,2025-08-27,PROD-0052,1,2221.73,False,0,2221.73,Beauty,Email,Completed
ORD-000171,ACC-00022,2025-10-19,PROD-0009,1,5591.52,True,10,5032.37,Electronics,Email,Completed
ORD-000172,ACC-00022,2025-11-01,PROD-0044,2,3731.93,True,10,6717.47,Sports,Email,Completed
ORD-000173,ACC-00023,2025-02-09,PROD-0006,2,12325.32,True,10,22185.58,Electronics,Store,Completed
ORD-000174,ACC-00023,2025-04-06,PROD-0048,2,2617.35,False,0,5234.7,Sports,Store,Completed
ORD-000175,ACC-00023,2025-06-03,PROD-0013,2,7262.89,False,0,14525.78,Home,Store,Completed
ORD-000176,ACC-00023,2025-07-24,PROD-0001,2,2829.55,True,10,5093.19,Electronics,Store,Completed
ORD-000177,ACC-00023,2025-12-08,PROD-0041,2,1641.57,False,0,3283.14,Sports,Store,Completed
ORD-000178,ACC-00024,2022-03-08,PROD-0008,1,4775.56,False,0,4775.56,Electronics,Web,Completed
ORD-000179,ACC-00024,2022-12-21,PROD-0065,1,4697.08,True,5,4462.23,Kids,Web,Completed
ORD-000180,ACC-00024,2024-11-04,PROD-0040,1,2692.65,True,15,2288.75,Sports,Web,Completed
ORD-000181,ACC-00025,2022-02-11,PROD-0012,2,5904.42,False,0,11808.84,Electronics,Email,Completed
ORD-000182,ACC-00025,2022-04-16,PROD-0010,1,14699.63,True,10,13229.67,Electronics,Email,Completed
ORD-000183,ACC-00025,2022-04-23,PROD-0006,2,13852.28,True,5,26319.33,Electronics,Email,Completed
ORD-000184,ACC-00025,2022-05-04,PROD-0044,1,3035.92,False,0,3035.92,Sports,Email,Completed
ORD-000185,ACC-00025,2022-05-26,PROD-0036,2,2805.17,False,0,5610.34,Fashion,Email,Completed
ORD-000186,ACC-00025,2022-07-30,PROD-0042,2,3004.27,True,10,5407.69,Sports,Email,Returned
ORD-000187,ACC-00025,2022-08-17,PROD-0006,3,14014.84,True,5,39942.29,Electronics,Email,Completed
ORD-000188,ACC-00025,2022-09-18,PROD-0002,1,9751.63,True,15,8288.89,Electronics,Email,Completed
ORD-000189,ACC-00025,2023-03-21,PROD-0028,1,1568.97,False,0,1568.97,Fashion,Email,Completed
ORD-000190,ACC-00026,2024-01-06,PROD-0002,1,9656.22,False,0,9656.22,Electronics,Email,Completed
ORD-000191,ACC-00026,2024-02-19,PROD-0064,1,2220.47,True,10,1998.42,Kids,Email,Completed
ORD-000192,ACC-00026,2024-06-20,PROD-0032,1,403.35,False,0,403.35,Fashion,Email,Completed
ORD-000193,ACC-00026,2024-07-30,PROD-0040,1,2503.3,False,0,2503.3,Sports,Email,Completed
ORD-000194,ACC-00026,2024-08-23,PROD-0030,1,1642.2,False,0,1642.2,Fashion,Email,Completed
ORD-000195,ACC-00026,2024-11-04,PROD-0052,1,2354.03,True,5,2236.33,Beauty,Email,Completed
ORD-000196,ACC-00026,2025-01-17,PROD-0044,1,2983.61,False,0,2983.61,Sports,Email,Completed
ORD-000197,ACC-00026,2025-02-21,PROD-0010,2,14566.49,True,5,27676.33,Electronics,Email,Completed
ORD-000198,ACC-00027,2023-07-23,PROD-0022,2,5224.93,True,20,8359.89,Home,Mobile App,Completed
ORD-000199,ACC-00027,2023-10-27,PROD-0013,2,6310.06,False,0,12620.12,Home,Mobile App,Completed
ORD-000200,ACC-00027,2023-11-03,PROD-0008,1,7315.85,False,0,7315.85,Electronics,Mobile App,Completed
ORD-000201,ACC-00027,2024-01-11,PROD-0047,1,745.16,True,10,670.64,Sports,Mobile App,Completed
ORD-000202,ACC-00027,2024-02-19,PROD-0018,1,2633.08,True,5,2501.43,Home,Mobile App,Completed
ORD-000203,ACC-00027,2024-04-11,PROD-0035,1,2748.53,False,0,2748.53,Fashion,Mobile App,Completed
ORD-000204,ACC-00028,2022-01-15,PROD-0014,1,4119.38,True,15,3501.47,Home,Store,Completed
ORD-000205,ACC-00028,2022-02-01,PROD-0023,1,4292.1,True,10,3862.89,Home,Store,Completed
ORD-000206,ACC-00028,2022-09-21,PROD-0062,1,895.8,False,0,895.8,Kids,Store,Completed
ORD-000207,ACC-00028,2022-11-08,PROD-0067,2,4257.67,True,5,8089.57,Kids,Store,Completed
ORD-000208,ACC-00028,2022-12-01,PROD-0048,1,2394.62,False,0,2394.62,Sports,Store,Completed
ORD-000209,ACC-00028,2023-09-27,PROD-0004,2,8464.05,False,0,16928.1,Electronics,Store,Completed
ORD-000210,ACC-00028,2023-10-20,PROD-0008,2,5689.04,False,0,11378.08,Electronics,Store,Completed
ORD-000211,ACC-00028,2023-11-15,PROD-0003,2,20593.87,False,0,41187.74,Electronics,Store,Completed
ORD-000212,ACC-00028,2023-12-08,PROD-0043,1,5816.2,False,0,5816.2,Sports,Store,Completed
ORD-000213,ACC-00029,2022-05-05,PROD-0059,1,595.49,False,0,595.49,Beauty,Store,Completed
ORD-000214,ACC-00029,2022-06-13,PROD-0042,1,4117.79,False,0,4117.79,Sports,Store,Completed
ORD-000215,ACC-00029,2022-06-20,PROD-0062,1,1015.03,False,0,1015.03,Kids,Store,Completed
ORD-000216,ACC-00029,2022-06-27,PROD-0024,1,3657.09,False,0,3657.09,Home,Store,Completed
ORD-000217,ACC-00029,2022-07-04,PROD-0019,1,7281.41,False,0,7281.41,Home,Store,Completed
ORD-000218,ACC-00029,2022-08-12,PROD-0068,2,2565.1,True,10,4617.18,Kids,Store,Completed
ORD-000219,ACC-00029,2022-09-26,PROD-0019,1,8176.08,False,0,8176.08,Home,Store,Completed
ORD-000220,ACC-00029,2022-10-28,PROD-0060,2,1830.22,False,0,3660.44,Beauty,Store,Completed
ORD-000221,ACC-00029,2022-11-11,PROD-0026,1,1871.73,False,0,1871.73,Fashion,Store,Completed
ORD-000222,ACC-00029,2022-11-18,PROD-0012,2,6747.51,False,0,13495.02,Electronics,Store,Completed
ORD-000223,ACC-00029,2022-11-29,PROD-0063,4,5477.6,False,0,21910.4,Kids,Store,Completed
ORD-000224,ACC-00029,2023-01-15,PROD-0063,2,4766.3,False,0,9532.6,Kids,Store,Completed
ORD-000225,ACC-00029,2023-02-09,PROD-0015,1,6410.73,True,10,5769.66,Home,Store,Completed
ORD-000226,ACC-00029,2023-03-25,PROD-0061,2,1571.26,True,10,2828.27,Kids,Store,Completed
ORD-000227,ACC-00029,2023-04-01,PROD-0015,1,6689.27,True,15,5685.88,Home,Store,Completed
ORD-000228,ACC-00029,2023-04-08,PROD-0022,1,5611.52,False,0,5611.52,Home,Store,Completed
ORD-000229,ACC-00029,2023-04-16,PROD-0056,3,1207.64,True,15,3079.48,Beauty,Store,Completed
ORD-000230,ACC-00029,2023-10-28,PROD-0023,1,4317.17,False,0,4317.17,Home,Store,Completed
ORD-000231,ACC-00029,2024-02-13,PROD-0027,2,2410.66,False,0,4821.32,Fashion,Store,Completed
ORD-000232,ACC-00029,2024-03-09,PROD-0022,1,5174.33,False,0,5174.33,Home,Store,Completed
ORD-000233,ACC-00029,2024-03-16,PROD-0034,1,3215.97,False,0,3215.97,Fashion,Store,Completed
ORD-000234,ACC-00029,2024-04-07,PROD-0044,3,3883.75,False,0,11651.25,Sports,Store,Completed
ORD-000235,ACC-00029,2024-06-22,PROD-0071,2,2728.61,True,10,4911.5,Kids,Store,Completed
ORD-000236,ACC-00029,2024-06-29,PROD-0018,2,3353.39,False,0,6706.78,Home,Store,Completed
ORD-000237,ACC-00029,2024-09-05,PROD-0027,1,2217.27,True,5,2106.41,Fashion,Store,Completed
ORD-000238,ACC-00029,2024-10-31,PROD-0009,1,5664.87,True,15,4815.14,Electronics,Store,Completed
ORD-000239,ACC-00029,2024-11-18,PROD-0057,1,1568.05,True,5,1489.65,Beauty,Store,Completed
ORD-000240,ACC-00030,2022-07-12,PROD-0051,1,306.02,True,10,275.42,Beauty,Web,Completed
ORD-000241,ACC-00030,2023-01-19,PROD-0013,1,6109.68,True,15,5193.23,Home,Web,Completed
ORD-000242,ACC-00030,2023-04-30,PROD-0001,1,2176.77,False,0,2176.77,Electronics,Web,Completed
ORD-000243,ACC-00030,2023-11-07,PROD-0012,1,5169.35,True,10,4652.42,Electronics,Web,Completed
ORD-000244,ACC-00030,2023-12-24,PROD-0011,1,11481.52,True,5,10907.44,Electronics,Web,Completed
ORD-000245,ACC-00030,2024-10-12,PROD-0002,1,7988.77,False,0,7988.77,Electronics,Web,Completed
ORD-000246,ACC-00031,2024-01-26,PROD-0009,3,5452.6,False,0,16357.8,Electronics,Web,Completed
ORD-000247,ACC-00031,2024-10-07,PROD-0024,1,3962.84,False,0,3962.84,Home,Web,Completed
