ID zákazníka,Loyalty Tier,Region,CLV Segment,Predikovaný CLV 2025,P(churn),Churn Risk,Churned 2024 (skutečnost),priorita
ACC-00085,Silver,SK,Low,0.823102,0.80955243,Vysoké,1,
ACC-00087,Bronze,CZ,Medium,5663.0938,0.96213865,Vysoké,1,🟡 Cílená kampaň
ACC-00088,Bronze,CZ,Low,135.36829,0.26022986,Nízké,0,
ACC-00089,Bronze,CZ,Low,356.2214,0.36201754,Střední,0,
ACC-00090,Bronze,CZ,Low,46.936317,0.07678797,Nízké,0,
ACC-00091,Bronze,CZ,Low,80.02926,0.37188548,Střední,0,
ACC-00092,Gold,CZ,Low,121.0048,0.04307625,Nízké,0,
ACC-00094,Bronze,CZ,Low,53.23455,0.07902562,Nízké,0,
ACC-00095,Silver,CZ,Low,0.0,0.54478806,Střední,1,
ACC-00097,Gold,SK,Medium,7776.814,0.08567534,Nízké,0,🟢 Udržet
ACC-00098,Bronze,SK,Low,16.006987,0.8516801,Vysoké,1,
ACC-00099,Bronze,CZ,Low,162.88438,0.12541682,Nízké,0,
ACC-00100,Silver,CZ,Low,112.29372,0.17335922,Nízké,0,
ACC-00101,Bronze,CZ,Low,40.74925,0.13900326,Nízké,0,
ACC-00103,Gold,CZ,Low,0.0,0.6977645,Vysoké,1,
ACC-00106,Bronze,CZ,Low,95.47965,0.59521025,Střední,1,
ACC-00108,Silver,CZ,Medium,17300.492,0.008939319,Nízké,0,🟢 Udržet
ACC-00109,Bronze,SK,Low,4947.11,0.020373464,Nízké,0,
ACC-00111,Silver,CZ,High,63701.6,0.005925418,Nízké,0,🟢 Udržet
ACC-00112,Silver,CZ,Low,0.0,0.0101617845,Nízké,0,
ACC-00114,Bronze,SK,Low,242.75183,0.81212515,Vysoké,1,
ACC-00115,Bronze,SK,Low,75.76046,0.79665786,Vysoké,1,
ACC-00117,Silver,CZ,Low,87.78642,0.82285744,Vysoké,1,
ACC-00118,Silver,CZ,Low,4.475787,0.96313995,Vysoké,1,
ACC-00119,Silver,CZ,Low,0.0,0.54469556,Střední,1,
ACC-00120,Bronze,CZ,Low,136.99054,0.8921638,Vysoké,1,
ACC-00121,Bronze,SK,Low,0.0,0.81927514,Vysoké,1,
ACC-00123,Bronze,CZ,Low,187.64398,0.93235636,Vysoké,0,
ACC-00124,Silver,SK,Low,266.75482,0.6787928,Vysoké,1,
ACC-00125,Bronze,CZ,Low,83.58901,0.8790032,Vysoké,1,
ACC-00126,Silver,SK,Low,28.15534,0.9751765,Vysoké,1,
ACC-00127,Silver,CZ,Low,0.0,0.05528471,Nízké,0,
ACC-00128,Silver,CZ,Low,26.846313,0.8424142,Vysoké,1,
ACC-00129,Silver,SK,Low,894.69806,0.11752973,Nízké,0,
ACC-00130,Bronze,SK,Medium,10362.159,0.05000784,Nízké,0,🟢 Udržet
ACC-00131,Silver,CZ,Low,0.0,0.57636726,Střední,0,
ACC-00133,Bronze,SK,Low,4134.428,0.13560791,Nízké,0,
ACC-00134,Silver,CZ,Low,70.30012,0.19026448,Nízké,1,
ACC-00135,Silver,CZ,Low,35.263874,0.21264072,Nízké,0,
ACC-00136,Silver,CZ,Medium,5653.2227,0.019262502,Nízké,0,🟢 Udržet
ACC-00137,Bronze,CZ,Low,52.888264,0.39208964,Střední,0,
ACC-00138,Bronze,CZ,Low,0.0,0.9168988,Vysoké,1,
ACC-00140,Bronze,SK,Low,1904.9694,0.2762186,Nízké,0,
ACC-00141,Gold,SK,Medium,9577.976,0.25168565,Nízké,0,🟢 Udržet
ACC-00142,Silver,CZ,Low,180.08562,0.25400773,Nízké,0,
ACC-00143,Gold,CZ,Low,1777.8231,0.0048299027,Nízké,0,
ACC-00144,Bronze,SK,Medium,18377.303,0.13513139,Nízké,0,🟢 Udržet
ACC-00145,Silver,CZ,Medium,13893.648,0.13515043,Nízké,1,🟢 Udržet
ACC-00148,Gold,CZ,Medium,14712.975,0.017274974,Nízké,0,🟢 Udržet
ACC-00149,Silver,CZ,Medium,12647.787,0.031675722,Nízké,0,🟢 Udržet
ACC-00150,Silver,CZ,Low,175.26297,0.012052139,Nízké,0,
ACC-00151,Bronze,CZ,Low,0.0,0.78089505,Vysoké,1,
ACC-00152,Silver,CZ,Low,2914.0925,0.3329373,Nízké,1,
ACC-00154,Silver,CZ,Low,3547.3792,0.32596573,Nízké,0,
ACC-00155,Bronze,SK,Medium,18173.652,0.041750114,Nízké,0,🟢 Udržet
ACC-00156,Bronze,CZ,Low,3017.4138,0.03965081,Nízké,0,
ACC-00157,Silver,CZ,Low,1661.4757,0.07883046,Nízké,0,
ACC-00158,Gold,SK,Low,11.019989,0.19385508,Nízké,1,
ACC-00159,Bronze,CZ,Low,1389.3453,0.040449202,Nízké,0,
ACC-00160,Silver,SK,High,67970.95,0.013042643,Nízké,0,🟢 Udržet
ACC-00163,Bronze,SK,Low,306.84775,0.67113614,Vysoké,1,
ACC-00164,Silver,CZ,High,35809.77,0.03199631,Nízké,0,🟢 Udržet
ACC-00165,Bronze,CZ,Low,7.3007154,0.95640576,Vysoké,1,
ACC-00166,Silver,CZ,Low,67.869965,0.69710547,Vysoké,1,
ACC-00168,Bronze,SK,Low,103.378555,0.5184676,Střední,1,
ACC-00169,Bronze,CZ,Low,2668.3052,0.2852079,Nízké,0,
ACC-00170,Gold,SK,Low,318.98932,0.5865461,Střední,1,
ACC-00171,Silver,CZ,Low,1576.4419,0.7189031,Vysoké,1,
ACC-00172,Silver,CZ,Low,216.06696,0.06905885,Nízké,0,
ACC-00173,Bronze,CZ,Low,47.631016,0.11959836,Nízké,0,
ACC-00175,Silver,CZ,Low,0.0,0.68722034,Vysoké,1,
ACC-00176,Silver,CZ,Low,76.865875,0.12955607,Nízké,0,
ACC-00178,Gold,CZ,Low,28.000526,0.011685578,Nízké,0,
ACC-00179,Gold,CZ,High,38630.734,0.017610533,Nízké,0,🟢 Udržet
ACC-00180,Silver,CZ,Low,37.213825,0.7758822,Vysoké,0,
ACC-00181,Gold,CZ,Low,0.0,0.63598216,Střední,1,
ACC-00183,Silver,SK,Low,142.42357,0.80368704,Vysoké,1,
ACC-00186,Bronze,CZ,Low,0.0,0.9373788,Vysoké,1,
ACC-00190,Silver,SK,Medium,6361.616,0.022924822,Nízké,0,🟢 Udržet
ACC-00191,Bronze,SK,Low,64.96159,0.027971223,Nízké,0,
ACC-00193,Silver,SK,Low,1910.104,0.071918964,Nízké,0,
ACC-00194,Bronze,SK,Low,141.98433,0.28174782,Nízké,0,
ACC-00195,Gold,CZ,Medium,7312.5723,0.12906441,Nízké,0,🟢 Udržet
ACC-00196,Silver,CZ,Low,106.54632,0.37568745,Střední,0,
ACC-00198,Silver,CZ,Low,74.54914,0.9501519,Vysoké,1,
ACC-00200,Silver,CZ,Low,0.0,0.9016147,Vysoké,1,
ACC-00201,Bronze,SK,Low,2949.1982,0.10878852,Nízké,0,
ACC-00202,Silver,SK,Low,130.12852,0.652995,Vysoké,1,
ACC-00204,Bronze,CZ,Low,66.13183,0.43737385,Střední,0,
ACC-00205,Bronze,CZ,Low,116.82889,0.0073093316,Nízké,0,
ACC-00206,Bronze,CZ,Low,0.0,0.9655207,Vysoké,1,
ACC-00208,Bronze,CZ,Medium,13151.123,0.007619609,Nízké,0,🟢 Udržet
ACC-00209,Bronze,CZ,Low,0.0,0.39545903,Střední,1,
ACC-00213,Bronze,SK,Low,78.10924,0.85425353,Vysoké,1,
ACC-00216,Bronze,CZ,Medium,12143.642,0.023636652,Nízké,0,🟢 Udržet
ACC-00217,Bronze,CZ,Low,75.87089,0.77673835,Vysoké,1,
ACC-00218,Bronze,SK,Medium,13286.426,0.007744174,Nízké,0,🟢 Udržet
ACC-00219,Bronze,CZ,Low,1178.3436,0.8051069,Vysoké,1,
ACC-00221,Bronze,SK,Low,0.0,0.62625474,Střední,1,
ACC-00224,Silver,CZ,Low,0.0,0.8876095,Vysoké,1,
ACC-00225,Bronze,CZ,Low,2930.658,0.053868663,Nízké,0,
ACC-00226,Bronze,CZ,Low,155.77844,0.10041715,Nízké,0,
ACC-00228,Bronze,CZ,Medium,16574.502,0.088753514,Nízké,0,🟢 Udržet
ACC-00229,Gold,SK,Low,0.0,0.1536417,Nízké,0,
ACC-00230,Silver,CZ,Low,12.483095,0.06442504,Nízké,0,
ACC-00231,Gold,CZ,High,81516.414,0.008610894,Nízké,0,🟢 Udržet
ACC-00232,Gold,SK,Medium,8212.053,0.09712157,Nízké,0,🟢 Udržet
ACC-00234,Gold,SK,Low,361.8546,0.15196677,Nízké,1,
ACC-00237,Gold,SK,Low,161.66605,0.9418978,Vysoké,1,
ACC-00238,Bronze,CZ,Low,0.0,0.5995368,Střední,0,
ACC-00239,Silver,SK,Low,2862.9211,0.11455102,Nízké,0,
ACC-00240,Bronze,CZ,Low,15.796251,0.15101977,Nízké,0,
ACC-00241,Bronze,CZ,Low,3350.8198,0.9576196,Vysoké,1,
ACC-00242,Silver,SK,Low,0.0,0.8238202,Vysoké,1,
ACC-00244,Bronze,CZ,Low,27.29607,0.7641808,Vysoké,1,
ACC-00246,Gold,CZ,Low,143.68457,0.38819325,Střední,0,
ACC-00247,Silver,CZ,Low,73.28669,0.08302179,Nízké,0,
ACC-00248,Silver,CZ,Medium,8746.115,0.0055952948,Nízké,0,🟢 Udržet
ACC-00250,Bronze,CZ,Low,20.879354,0.7937177,Vysoké,1,
ACC-00251,Bronze,SK,Low,21.271032,0.8190512,Vysoké,1,
ACC-00252,Bronze,CZ,Low,81.76947,0.9618192,Vysoké,1,
ACC-00253,Gold,CZ,High,53797.188,0.08790025,Nízké,0,🟢 Udržet
ACC-00254,Silver,CZ,Low,0.0,0.2955879,Nízké,0,
ACC-00255,Gold,CZ,Low,17.730558,0.6763881,Vysoké,1,
ACC-00257,Bronze,SK,Medium,18286.887,0.022068197,Nízké,0,🟢 Udržet
ACC-00258,Silver,CZ,Low,0.0,0.85885,Vysoké,1,
ACC-00260,Gold,SK,Low,0.0,0.14389674,Nízké,0,
ACC-00262,Gold,CZ,Low,0.0,0.10940193,Nízké,1,
ACC-00263,Silver,SK,Low,0.0,0.87096936,Vysoké,1,
ACC-00265,Gold,CZ,High,25370.541,0.016702369,Nízké,0,🟢 Udržet
ACC-00266,Gold,CZ,Medium,8698.673,0.021173261,Nízké,0,🟢 Udržet
ACC-00267,Bronze,CZ,Low,0.0,0.92594266,Vysoké,1,
ACC-00268,Bronze,CZ,Low,86.47786,0.67311054,Vysoké,1,
ACC-00269,Silver,SK,High,26132.127,0.011468073,Nízké,0,🟢 Udržet
ACC-00270,Silver,CZ,Medium,24531.695,0.5049196,Střední,0,
ACC-00271,Bronze,CZ,Low,494.27847,0.8647954,Vysoké,1,
ACC-00272,Gold,CZ,Low,88.23622,0.032646354,Nízké,0,
ACC-00273,Gold,CZ,Low,0.0,0.11450076,Nízké,0,
ACC-00275,Silver,CZ,Medium,5954.6313,0.014929354,Nízké,0,🟢 Udržet
ACC-00277,Gold,CZ,Low,384.9264,0.017139366,Nízké,0,
ACC-00279,Bronze,CZ,Medium,6092.025,0.02224051,Nízké,0,🟢 Udržet
ACC-00281,Bronze,CZ,Low,4.5563016,0.9496286,Vysoké,1,
ACC-00283,Bronze,CZ,Medium,6288.753,0.021523891,Nízké,0,🟢 Udržet
ACC-00284,Gold,CZ,High,30932.525,0.10361197,Nízké,0,🟢 Udržet
ACC-00285,Gold,SK,Low,0.0,0.9136293,Vysoké,1,
ACC-00286,Gold,SK,Low,0.0,0.79186934,Vysoké,1,
ACC-00288,Silver,CZ,Low,105.259766,0.18376456,Nízké,0,
ACC-00290,Bronze,CZ,Low,198.79704,0.1091845,Nízké,0,
ACC-00291,Silver,CZ,Low,0.0,0.7625227,Vysoké,1,
ACC-00292,Silver,SK,Low,3829.5168,0.13775781,Nízké,0,
ACC-00293,Bronze,CZ,Low,0.0,0.6495015,Střední,1,
ACC-00297,Silver,CZ,Low,0.0,0.59863126,Střední,1,
ACC-00298,Silver,CZ,Low,0.0,0.98013365,Vysoké,1,
ACC-00301,Silver,CZ,Low,235.13983,0.22374943,Nízké,0,
ACC-00303,Gold,CZ,Medium,21962.91,0.07491684,Nízké,0,🟢 Udržet
ACC-00304,Silver,CZ,Low,110.42638,0.046454344,Nízké,0,
ACC-00305,Bronze,CZ,Low,0.0,0.9523975,Vysoké,1,
ACC-00306,Silver,CZ,Low,5.6720676,0.02424332,Nízké,0,
ACC-00307,Bronze,CZ,Low,865.1685,0.93029976,Vysoké,1,
ACC-00308,Gold,SK,Low,210.24571,0.8718968,Vysoké,1,
ACC-00310,Silver,SK,Low,1062.6312,0.9333684,Vysoké,1,
ACC-00311,Silver,CZ,Medium,19413.492,0.018716525,Nízké,0,🟢 Udržet
ACC-00312,Silver,CZ,Low,0.0,0.84281117,Vysoké,1,
ACC-00313,Bronze,CZ,Low,111.07824,0.6694415,Vysoké,1,
ACC-00314,Silver,CZ,Low,30.190472,0.39790776,Střední,1,
ACC-00315,Silver,CZ,Low,1823.3782,0.9368145,Vysoké,1,
ACC-00316,Silver,SK,Low,40.92272,0.27536392,Nízké,0,
ACC-00318,Bronze,CZ,Low,83.0557,0.77864623,Vysoké,1,
ACC-00319,Silver,CZ,Low,13.824338,0.5692714,Střední,1,
ACC-00320,Bronze,CZ,Low,859.402,0.16890405,Nízké,0,
ACC-00321,Bronze,CZ,Low,12.972192,0.06912796,Nízké,0,
ACC-00322,Silver,CZ,Medium,5684.294,0.01517164,Nízké,0,🟢 Udržet
ACC-00323,Silver,CZ,Low,2066.1902,0.084585086,Nízké,0,
ACC-00325,Gold,CZ,High,45650.32,0.061514627,Nízké,0,🟢 Udržet
ACC-00326,Gold,CZ,Low,0.0,0.97703344,Vysoké,1,
ACC-00329,Silver,CZ,Low,2375.6187,0.9192738,Vysoké,1,
ACC-00330,Bronze,CZ,Low,28.94318,0.26010182,Nízké,1,
ACC-00332,Bronze,CZ,Low,0.0,0.9019923,Vysoké,1,
ACC-00334,Bronze,CZ,Low,3476.949,0.2832976,Nízké,0,
ACC-00336,Gold,CZ,High,59556.977,0.0042934497,Nízké,0,🟢 Udržet
ACC-00341,Silver,SK,Medium,7395.374,0.01652186,Nízké,0,🟢 Udržet
ACC-00342,Silver,CZ,Low,0.0,0.22799365,Nízké,0,
ACC-00344,Bronze,CZ,Low,21.537191,0.109482124,Nízké,0,
ACC-00345,Bronze,CZ,Low,2995.2456,0.7580227,Vysoké,0,
ACC-00346,Silver,CZ,High,48555.426,0.22252296,Nízké,0,🟢 Udržet
ACC-00347,Bronze,CZ,Low,3340.1836,0.54015446,Střední,0,
ACC-00350,Bronze,SK,Medium,13873.758,0.3281972,Nízké,0,🟢 Udržet
ACC-00351,Bronze,SK,Low,0.0,0.5307398,Střední,1,
ACC-00352,Bronze,CZ,Low,105.01968,0.88884115,Vysoké,1,
ACC-00353,Silver,CZ,Low,0.0,0.54805636,Střední,1,
ACC-00354,Silver,SK,Medium,14408.136,0.019189728,Nízké,0,🟢 Udržet
ACC-00355,Bronze,CZ,Low,0.0,0.9305822,Vysoké,1,
ACC-00356,Bronze,CZ,Low,2067.341,0.1252894,Nízké,0,
ACC-00357,Bronze,CZ,Low,108.87595,0.99146324,Vysoké,1,
ACC-00359,Gold,CZ,Medium,15933.291,0.029886957,Nízké,0,🟢 Udržet
ACC-00360,Bronze,CZ,Low,36.34903,0.3049816,Nízké,0,
ACC-00361,Silver,CZ,Low,259.65298,0.35700944,Střední,0,
ACC-00362,Bronze,CZ,Low,0.0,0.7509702,Vysoké,1,
ACC-00363,Silver,CZ,Low,539.5462,0.29522434,Nízké,1,
ACC-00364,Silver,SK,High,82993.07,0.008034407,Nízké,0,🟢 Udržet
ACC-00365,Bronze,CZ,Low,0.0,0.8355147,Vysoké,1,
ACC-00367,Silver,CZ,Low,56.57542,0.7851098,Vysoké,0,
ACC-00368,Gold,CZ,Medium,10968.02,0.30274138,Nízké,0,🟢 Udržet
ACC-00369,Bronze,CZ,Low,0.0,0.7065351,Vysoké,1,
ACC-00370,Gold,CZ,High,72844.016,0.02536831,Nízké,0,🟢 Udržet
ACC-00371,Gold,CZ,Low,91.57131,0.64827657,Střední,1,
ACC-00372,Silver,CZ,Low,4928.173,0.093810774,Nízké,0,
ACC-00373,Silver,CZ,Low,0.0,0.9728237,Vysoké,1,
ACC-00374,Bronze,SK,Medium,16461.848,0.60676706,Střední,0,
ACC-00375,Gold,CZ,Low,120.49631,0.2218739,Nízké,0,
ACC-00376,Silver,CZ,Low,129.83849,0.03213894,Nízké,0,
ACC-00377,Bronze,SK,Low,63.431026,0.7723132,Vysoké,1,
ACC-00378,Bronze,CZ,Low,2077.3054,0.32999825,Nízké,0,
ACC-00379,Silver,CZ,Medium,13453.4375,0.34334457,Nízké,0,🟢 Udržet
ACC-00381,Bronze,CZ,Low,3446.3918,0.23016004,Nízké,0,
ACC-00382,Gold,CZ,Low,60.25452,0.12865195,Nízké,0,
ACC-00383,Gold,CZ,Medium,7659.471,0.032152157,Nízké,0,🟢 Udržet
ACC-00385,Silver,CZ,Low,42.632977,0.4775939,Střední,1,
ACC-00386,Gold,CZ,Low,0.0,0.3209279,Nízké,1,
ACC-00387,Silver,SK,Low,226.91608,0.7737781,Vysoké,0,
ACC-00388,Bronze,CZ,Medium,20593.492,0.07862027,Nízké,0,🟢 Udržet
ACC-00389,Bronze,CZ,Medium,17124.586,0.050204735,Nízké,0,🟢 Udržet
ACC-00390,Bronze,CZ,Low,188.64626,0.415536,Střední,0,
ACC-00391,Bronze,CZ,Medium,13180.402,0.218569,Nízké,0,🟢 Udržet
ACC-00392,Bronze,CZ,Low,47.71337,0.8664855,Vysoké,0,
ACC-00393,Silver,CZ,Medium,6350.1406,0.20629649,Nízké,0,🟢 Udržet
ACC-00394,Silver,CZ,Medium,17971.537,0.23687018,Nízké,0,🟢 Udržet
ACC-00397,Bronze,CZ,Low,0.0,0.9084747,Vysoké,1,
ACC-00399,Gold,CZ,Low,4089.3342,0.6634044,Vysoké,0,
ACC-00401,Silver,CZ,Low,3140.937,0.059243314,Nízké,0,
ACC-00402,Silver,SK,Medium,16433.14,0.24224816,Nízké,0,🟢 Udržet
ACC-00403,Bronze,CZ,Low,98.45832,0.19043133,Nízké,0,
ACC-00404,Silver,CZ,Low,0.0,0.88956755,Vysoké,1,
ACC-00405,Bronze,SK,Low,0.0,0.9363504,Vysoké,1,
ACC-00406,Bronze,CZ,Low,0.0,0.63154334,Střední,1,
ACC-00407,Bronze,CZ,Low,0.0,0.90259326,Vysoké,1,
ACC-00408,Silver,SK,Low,0.0,0.76834655,Vysoké,1,
ACC-00409,Silver,SK,Low,49.81161,0.195207,Nízké,0,
ACC-00410,Gold,SK,Low,70.17015,0.48077664,Střední,1,
ACC-00411,Gold,CZ,Low,0.0,0.84998345,Vysoké,1,
ACC-00412,Bronze,CZ,Low,1186.6239,0.87552965,Vysoké,1,
ACC-00413,Bronze,CZ,Low,0.0,0.040248487,Nízké,0,
ACC-00414,Gold,CZ,Medium,10010.363,0.0688656,Nízké,0,🟢 Udržet
ACC-00415,Silver,SK,Low,0.0,0.8878841,Vysoké,1,
ACC-00416,Bronze,CZ,Low,0.0,0.21742493,Nízké,0,
ACC-00418,Silver,CZ,Low,415.88495,0.004325454,Nízké,0,
ACC-00419,Silver,SK,Low,206.40724,0.22167318,Nízké,0,
ACC-00420,Gold,SK,Medium,23114.078,0.005879522,Nízké,0,🟢 Udržet
ACC-00421,Silver,CZ,Low,0.0,0.046219233,Nízké,0,
ACC-00422,Bronze,CZ,High,31761.588,0.18171124,Nízké,0,🟢 Udržet
ACC-00423,Silver,CZ,Low,0.0,0.5581395,Střední,1,
ACC-00424,Bronze,CZ,Medium,10353.176,0.04020082,Nízké,0,🟢 Udržet
ACC-00426,Silver,CZ,Medium,8905.435,0.06007894,Nízké,0,🟢 Udržet
ACC-00428,Silver,CZ,Low,2116.4673,0.93753064,Vysoké,1,
ACC-00429,Bronze,CZ,Low,0.0,0.97727406,Vysoké,1,
ACC-00430,Bronze,CZ,Low,506.43558,0.8880513,Vysoké,1,
ACC-00432,Silver,CZ,Low,151.14851,0.8777517,Vysoké,1,
ACC-00433,Bronze,CZ,Low,4578.6343,0.020052467,Nízké,0,
ACC-00434,Bronze,CZ,Low,538.37244,0.5284876,Střední,0,
ACC-00435,Silver,CZ,Medium,13454.755,0.04112823,Nízké,0,🟢 Udržet
ACC-00436,Bronze,CZ,Low,88.94477,0.87434685,Vysoké,1,
ACC-00437,Bronze,SK,Low,53.07538,0.07904273,Nízké,0,
ACC-00438,Silver,CZ,Low,102.71521,0.9528911,Vysoké,1,
ACC-00439,Bronze,CZ,Low,3250.3723,0.3858854,Střední,0,
ACC-00440,Silver,CZ,Low,0.0,0.10101936,Nízké,0,
ACC-00441,Silver,CZ,Low,0.0,0.97995424,Vysoké,1,
ACC-00442,Bronze,SK,Low,121.392395,0.097140886,Nízké,0,
ACC-00443,Bronze,CZ,Low,2588.0923,0.2829199,Nízké,1,
ACC-00444,Bronze,CZ,Low,253.00195,0.37490743,Střední,0,
ACC-00445,Silver,CZ,Low,0.0,0.07426533,Nízké,0,
ACC-00446,Bronze,SK,Low,0.0,0.96954006,Vysoké,1,
ACC-00447,Bronze,CZ,Low,0.0,0.9413497,Vysoké,1,
ACC-00448,Bronze,SK,Low,6.2223577,0.9442962,Vysoké,1,
ACC-00450,Bronze,CZ,Medium,5489.2046,0.8897694,Vysoké,1,🟡 Cílená kampaň
ACC-00451,Silver,CZ,Low,0.0,0.08166418,Nízké,0,
ACC-00452,Silver,CZ,Low,0.0,0.7218845,Vysoké,1,
ACC-00453,Bronze,CZ,Low,95.01364,0.024256423,Nízké,0,
ACC-00454,Gold,SK,Low,83.25652,0.048129246,Nízké,0,
ACC-00455,Bronze,CZ,Low,0.0,0.3684156,Střední,0,
ACC-00458,Gold,SK,High,28898.002,0.0024800568,Nízké,0,🟢 Udržet
ACC-00460,Silver,CZ,Low,6.330227,0.9638483,Vysoké,1,
ACC-00462,Silver,SK,High,29208.604,0.022562323,Nízké,0,🟢 Udržet
ACC-00463,Gold,CZ,Low,2303.9915,0.07908402,Nízké,0,
ACC-00464,Bronze,SK,Low,19.999552,0.94258726,Vysoké,1,
ACC-00465,Gold,SK,Medium,5302.606,0.08546153,Nízké,0,🟢 Udržet
ACC-00466,Bronze,CZ,Low,0.0,0.7743013,Vysoké,1,
ACC-00468,Silver,CZ,Medium,9986.974,0.006354421,Nízké,0,🟢 Udržet
ACC-00469,Bronze,SK,Low,0.0,0.79521435,Vysoké,1,
ACC-00470,Silver,CZ,Low,0.0,0.8006249,Vysoké,1,
ACC-00472,Bronze,CZ,Low,96.53218,0.8838869,Vysoké,1,
ACC-00474,Silver,CZ,High,75304.72,0.07582347,Nízké,0,🟢 Udržet
ACC-00475,Silver,CZ,Low,47.40368,0.656242,Vysoké,1,
ACC-00476,Bronze,CZ,Low,0.0,0.18792991,Nízké,0,
ACC-00477,Silver,SK,Low,108.36896,0.09203688,Nízké,0,
ACC-00480,Bronze,CZ,Low,65.761314,0.79916644,Vysoké,1,
ACC-00481,Bronze,CZ,Low,0.0,0.16090745,Nízké,0,
ACC-00482,Bronze,CZ,Low,1586.211,0.51912844,Střední,1,
